CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Mecânica,1991.0,2.0,Engenharia De Controle E Automação,2008.0,4,Engenharia Elétrica,1998.0,6.0,Educação,2008.0,2.0
Quimica,2002.0,2.0,Ciência Da Computação,1998.0,4,Engenharia Da Energia - Cefet/mg - Ufsj,2014.0,6.0,Educação,2013.0,2.0
Eletromecânica,1983.0,2.0,Engenharia De Computação,2010.0,4,Química,2013.0,6.0,Engenharia Civil,2009.0,2.0
Eletromecânica,1996.0,2.0,Ciência Da Computação,2000.0,4,Engenharia Mecânica,2000.0,6.0,Educação,2016.0,2.0
Informática,2008.0,2.0,Ciência Da Computação,2002.0,4,Tecnologia,2000.0,6.0,Educação,2018.0,2.0
Informática,2010.0,2.0,Engenharia Industrial Elétrica,1997.0,4,Modelagem Matemática E Computacional,2015.0,5.0,Comunicação Social,2019.0,2.0
Mecânica Industrial,2010.0,2.0,Engenharia Civil,1985.0,4,Modelagem Matemática E Computacional,2017.0,5.0,Ciências Técnicas Nucleares,2012.0,2.0
Eletrotécnica,2006.0,2.0,Engenharia De Produção Civil,2003.0,4,Engenharia Elétrica,2004.0,5.0,Letras,2019.0,2.0
Informática Industrial,1996.0,2.0,Engenharia Elétrica,2006.0,4,Educação Tecnológica,2012.0,5.0,Ciências Técnicas Nucleares,2009.0,2.0
Meio Ambiente,2007.0,2.0,Engenharia Civil,2006.0,4,Engenharia Elétrica,2002.0,5.0,Modelagem Matemática E Computacional,2015.0,2.0
Eletrotécnica,2005.0,2.0,Ciências Biológicas,2009.0,4,Engenharia Civil,2018.0,5.0,Modelagem Matemática E Computacional,2021.0,2.0
Meio Ambiente,2004.0,2.0,Engenharia Civil,1999.0,4,Modelagem Matemática E Computacional,2009.0,5.0,Engenharia Elétrica,2002.0,2.0
Química,1995.0,2.0,Engenharia De Controle E Automação,2010.0,4,Modelagem Matemática E Computacional,2016.0,5.0,Engenharia Civil,2020.0,2.0
Eletrotécnica,1995.0,2.0,Engenharia De Produção Civil,2006.0,4,Engenharia Elétrica,2010.0,5.0,Engenharia Mecânica,2000.0,2.0
Eletrônica,1997.0,2.0,Letras,2003.0,4,Engenharia Mecânica,1997.0,5.0,Engenharia Metalúrgica E De Minas,1998.0,2.0
Química,2007.0,2.0,Letras,2007.0,4,Tecnologia,2002.0,5.0,Engenharia Mecânica,2020.0,2.0
Eletrônica,2004.0,2.0,Letras,2013.0,4,Engenharia Civil,2013.0,4.0,Engenharia Mecânica,2019.0,2.0
