CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Eletrônica Industrial,2004.0,2,Engenharia De Controle E Automação,2018.0,2.0,Tecnologia,2005.0,4.0,,,
Eletrônica,1994.0,2,Engenharia Elétrica,2014.0,2.0,Modelagem Matemática E Computacional,2006.0,4.0,,,
Química,2000.0,2,Tecnologia Em Radiologia,2006.0,2.0,Educação Tecnológica,2013.0,4.0,,,
Mecânica,2007.0,2,Engenharia Elétrica,2016.0,2.0,Engenharia Da Energia - Cefet/mg - Ufsj,2018.0,4.0,,,
Eletrônica,2006.0,2,Engenharia Ambiental E Sanitária,2016.0,2.0,Educação Tecnológica,2015.0,4.0,,,
Eletrônica,1998.0,2,Engenharia De Materiais,2012.0,2.0,Tecnologia,2002.0,4.0,,,
Quimica Industrial,2000.0,2,Tecnologia Em Radiologia,2008.0,2.0,Engenharia Elétrica,2011.0,4.0,,,
Informática Industrial,2008.0,2,Engenharia Elétrica,1999.0,2.0,Estudos De Linguagens,2021.0,4.0,,,
Química Industrial,1996.0,2,Engenharia Industrial Mecânica,1998.0,2.0,Modelagem Matemática E Computacional,2019.0,4.0,,,
Edificações,2000.0,2,Engenharia Industrial Mecânica,1996.0,2.0,Engenharia Elétrica,2016.0,3.0,,,
Edificações,2003.0,2,Engenharia Industrial Mecânica,1989.0,2.0,Modelagem Matemática E Computacional,2005.0,3.0,,,
Química,2014.0,2,Licenciatura Plena Para A Graduação De Professores,1992.0,2.0,Modelagem Matemática E Computacional,2020.0,3.0,,,
Química Industrial,2000.0,2,Tecnologia Em Radiologia,2010.0,2.0,Engenharia De Materiais,2014.0,3.0,,,
Química,2007.0,2,Licenciatura Plena Para A Graduação De Professores,1989.0,2.0,Engenharia Civil,2020.0,3.0,,,
Química Industrial,2002.0,2,Engenharia Industrial Elétrica,1999.0,2.0,Educação Tecnológica,2005.0,3.0,,,
Turismo E Lazer,2006.0,2,Engenharia Industrial Elétrica,2002.0,2.0,Engenharia Civil,2011.0,3.0,,,
 Mecânico,1980.0,2,Administração,2014.0,2.0,Engenharia Civil,2009.0,3.0,,,
Química Industrial,2005.0,2,Engenharia Industrial Elétrica,2005.0,2.0,Tecnologia,2000.0,3.0,,,
Química,2002.0,1,Engenharia Industrial Elétrica,2008.0,2.0,Educação Tecnológica,2020.0,3.0,,,
Mecânica,2005.0,1,Engenharia Elétrica,2000.0,2.0,Educação Tecnológica,2018.0,3.0,,,
Mecânica,2004.0,1,Engenharia Mecânica,2014.0,2.0,Engenharia Da Energia - Cefet/mg - Ufsj,2011.0,3.0,,,
Mecânica,1998.0,1,Engenharia Industrial Mecânica,2009.0,2.0,Engenharia Da Energia - Cefet/mg - Ufsj,2014.0,3.0,,,
Mecânica,1999.0,1,Engenharia De Minas,2015.0,2.0,Engenharia Civil,2012.0,3.0,,,
Saneamento,1996.0,1,Letras,2015.0,2.0,Administração,2019.0,3.0,,,
Mecânica,1995.0,1,Química Tecnológica,2011.0,2.0,Administração,2021.0,3.0,,,
Mecânica,1994.0,1,Engenharia De Computação,2017.0,2.0,Tecnologia,1998.0,2.0,,,
Saneamento,1999.0,1,Engenharia De Produção Civil,2009.0,2.0,Engenharia De Materiais,2020.0,2.0,,,
Química Industrial,2008.0,1,Engenharia De Computação,2013.0,2.0,Tecnologia,2001.0,2.0,,,
Saneamento,1994.0,1,Engenharia De Minas,2017.0,2.0,Engenharia Civil,2018.0,2.0,,,
Química Industrial,2010.0,1,Engenharia De Controle E Automação,2015.0,2.0,Engenharia Elétrica,2012.0,2.0,,,
Química Industrial,2009.0,1,Engenharia De Produção Civil,2016.0,2.0,Engenharia Elétrica,2015.0,2.0,,,
Segundo Grau  - Eletrônica,1995.0,1,Engenharia Industrial Mecânica,2011.0,2.0,Tecnologia,2006.0,2.0,,,
Mecânica,2009.0,1,Radiologia,2006.0,2.0,Química,2019.0,2.0,,,
Mecânica,2010.0,1,Programa Especial De Formação De Docente,2015.0,2.0,Engenharia Elétrica,2018.0,2.0,,,
Química Industrial,2003.0,1,Engenharia De Materiais,2016.0,2.0,Engenharia Da Energia - Cefet/mg - Ufsj,2012.0,2.0,,,
Mecânica,2011.0,1,Engenharia Mecatrônica,2015.0,2.0,Engenharia Civil,2013.0,2.0,,,
Saneamento,2001.0,1,Licenciatura Plena Em Metalurgia E Mecânica,1990.0,1.0,Educação Tecnológica,2004.0,2.0,,,
Mecânica,1986.0,1,Graduação De Professores,1983.0,1.0,Educação Tecnológica,2003.0,2.0,,,
Mecânica,1989.0,1,Engenharia Mecânica,2016.0,1.0,Educação Tecnológica,2001.0,2.0,,,
Mecânica Industrial,1996.0,1,Licenciatura Plena Em Mecânica,1990.0,1.0,Engenharia Da Energia - Cefet/mg - Ufsj,2015.0,2.0,,,
Informática Industrial (integrado Ao Ensino Médio),2011.0,1,Engenharia Operacional Elétrica,1980.0,1.0,Tecnologia Manufatura Integrada Por Computador,2004.0,1.0,,,
Téc. Em Química,1999.0,1,Graduação De Professores - Química Aplicada,1983.0,1.0,Sistemas Elétricos De Potencia,2015.0,1.0,,,
Informática Industrial/automação,2009.0,1,Engenharia Mecânica,2015.0,1.0,Modelagem Matemática E Computacional,2021.0,1.0,,,
Informática Industrial/automação,2010.0,1,Licenciatura Plena Em Eletricidade / Eletrônica,1993.0,1.0,Programa De Engenharia Elétrica,2016.0,1.0,,,
Turismo E Lazer,2010.0,1,Licenciatura Plena De Professores,1992.0,1.0,Programa De Pó-graduação Em Engenharia Elétrica,2011.0,1.0,,,
Turismo E Lazer,2009.0,1,Licenciatura Plena Em Eletricidade,1990.0,1.0,Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais,2021.0,1.0,,,
Turismo E Lazer,2003.0,1,Licenciatura Plena Em Construção Civil,1986.0,1.0,Tecnologia,1999.0,1.0,,,
Turismo E Lazer,2001.0,1,Licenciatura Plena,1989.0,1.0,Tecnologia,1997.0,1.0,,,
Instrumentação,1982.0,1,Licenciatura Plena Em Química,1989.0,1.0,Tecnologia,1995.0,1.0,,,
Instrumentação Eletrônica E Controle De Porcessos,2006.0,1,Licenciatura Plena Da Parte De Formação Especial D,1994.0,1.0,Programa De Pós-graduação Em Engenharia Elétrica,2010.0,1.0,,,
Turismo E Lazer,2000.0,1,Letras: Tecnologias De Edição,2018.0,1.0,Programa De Pós-graduação Em Engenharia Elétrica (ppgel),2015.0,1.0,,,
Turismo - Produção De Eventos,2008.0,1,Gestão E Matemática - Prog. Esp. De Form. Ped.. P. Docentes,2007.0,1.0,Programa De Pós-graduação Multicêntrico Em Química,2021.0,1.0,,,
Turismo,2007.0,1,Licenc. P. P/ A Grad. De Prof. Parte De Form Espec,1990.0,1.0,Química Inorgânica,2018.0,1.0,,,
Mecânica,1977.0,1,Licenciado Pleno Para Graduação De Professores Da,1990.0,1.0,Sistemas De Controle,2014.0,1.0,,,
Mecânica,1978.0,1,Licenciatura Plena,1997.0,1.0,Tecnologia,1993.0,1.0,,,
Mecânica,1979.0,1,Licenciatura Plena,1988.0,1.0,Sistemas De Controle,2017.0,1.0,,,
Mecânica,1981.0,1,Formação De Professores Para Currículo Especial Do,1996.0,1.0,Administração,2017.0,1.0,,,
Mecânica,1983.0,1,Formacao De Docentes,2011.0,1.0,Engenharia Elétrica,2020.0,1.0,,,
Turismo,2003.0,1,Licenciatura Plena,1990.0,1.0,Modelagem Matemática E Computacional,2004.0,1.0,,,
Transportes E Trânsito,2010.0,1, De Licenciatura Esquema 2,1993.0,1.0,Modelagem Matematica E Computacional,2005.0,1.0,,,
Mecânica,1985.0,1,Licenciatura Plena Em Química Pura E Aplicada,1990.0,1.0,Administração De Empresas,2017.0,1.0,,,
Mecânica,2013.0,1,Programa Especial Formação Pedagógica De Docentes,2008.0,1.0,Educação,2019.0,1.0,,,
