CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Informática Industrial,1999.0,2.0,Ciência Da Computação,1995.0,4,Engenharia Elétrica,2001.0,5.0,Engenharia Mecânica,2008.0,2.0
Informática Industrial,1998.0,2.0,Ciência Da Computação,1999.0,4,Engenharia Elétrica,2011.0,5.0,Engenharia Elétrica,2020.0,2.0
Informática Industrial,1997.0,2.0,Engenharia Civil,2004.0,4,Engenharia Elétrica,2012.0,5.0,Engenharia Elétrica,2005.0,2.0
Informática Industrial,1994.0,2.0,Engenharia Civil,2012.0,4,Engenharia Civil,2015.0,5.0,Engenharia Elétrica,2004.0,2.0
Informática Industrial,2008.0,2.0,Engenharia Civil,1990.0,4,Engenharia Elétrica,2008.0,5.0,Quimica,2020.0,2.0
Informática,2010.0,2.0,Engenharia Industrial Elétrica,2003.0,4,Engenharia Elétrica,2019.0,5.0,Engenharia Mecânica,2021.0,2.0
Mecatrônica,2008.0,2.0,Engenharia De Materiais,2015.0,4,Química,2019.0,5.0,Quimica,2010.0,2.0
Mecatrônica,2011.0,2.0,Engenharia Industrial Elétrica,2007.0,4,Educação Tecnológica,2008.0,5.0,Engenharia Elétrica,2016.0,2.0
Mecânica,1984.0,2.0,Engenharia Industrial Elétrica,2000.0,4,Engenharia Elétrica,2002.0,5.0,Física,2004.0,1.0
Eletrotécnica,2008.0,2.0,Química,2006.0,4,Modelagem Matemática E Computacional,2018.0,5.0,Fisica,2021.0,1.0
Eletrônica Industrial,2004.0,2.0,Sistemas De Informação,2012.0,4,Engenharia Elétrica,2015.0,5.0,Fisiologia E Farmacologia,2016.0,1.0
Mecânica,1993.0,2.0,Farmácia,2013.0,4,Estudos De Linguagens,2011.0,5.0,Fitotecnia (produção Vegetal),2007.0,1.0
Eletrônica,2006.0,2.0,Tecnologia Em Radiologia,2005.0,4,Educação Tecnológica,2011.0,5.0,Física,1999.0,1.0
Eletrônica,2000.0,2.0,Engenharia De Produção Civil,2008.0,4,Modelagem Matemática E Computacional,2008.0,5.0,Engenharia Metalúrgica E De Minas,2014.0,1.0
