0
None/CURSO-TECNICO-PROFISSIONALIZANTE/None
Universidade Federal de Minas Gerais/GRADUACAO/Letras
Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Linguística
Universidade Federal de Minas Gerais/GRADUACAO/Física Licenciatura
Universidade Federal de Minas Gerais/MESTRADO/Educação
Universidade Federal de Minas Gerais/GRADUACAO/Estatística
Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção - Produção E Logística
Centro Universitário do Planalto de Araxá/GRADUACAO/Ciências Biológicas
Universidade de São Paulo/MESTRADO/Biologia Comparada
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química
Universidade Federal de Minas Gerais/MESTRADO/ De Ciências E Técnicas Nucleares
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica Industrial
Universidade Federal de São João Del-Rei/MESTRADO/Engenharia Elétrica (ufsj / Cefet-mg)
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Química
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Mecânica
Universidade Federal de Santa Catarina/MESTRADO/Engenharia De Produção
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Plena
Universidade Federal de São João Del-Rei/GRADUACAO/Letras
Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares
Universidade Federal de Minas Gerais/MESTRADO/Física
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Química Pura E Aplicada
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca/MESTRADO/Engenharia De Produção E Sistemas
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia
Universidade Federal de Minas Gerais/MESTRADO/Medicina Veterinária
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Habilitação Em Jornalismo
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Universidade do Estado de Minas Gerais/GRADUACAO/Educação Artística - Música
Universidade Federal de Minas Gerais/MESTRADO/Artes
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Fundação Universidade de Itaúna/GRADUACAO/Química
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica Com Ênfase Mecatrônica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
None/MESTRADO/None
Universidade Federal de Minas Gerais/GRADUACAO/Abi - Ciências Sociais
Universidade Federal de Pernambuco/MESTRADO/Desenvolvimento E Meio Ambiente
Universidade Federal de Juiz de Fora/GRADUACAO/Engenharia Elétrica
Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licendiatura Plena Para Graduação De Professores
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecänica
Universidade do Vale do Paraíba/GRADUACAO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Universidade Federal de Minas Gerais/MESTRADO/Construção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena/esquema 1
Universidade Federal de Ouro Preto/GRADUACAO/Química Industrial
Universidade Federal de Ouro Preto/MESTRADO/Evolução Crustal E Recursos Naturais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Eletricidade
Universidade Federal de Goiás/MESTRADO/Física
