Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
2408594767683122,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2414677052501972,Belo Horizonte,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
2541931523196689,Belo Horizonte,MG,Brasil,Instituto de Inovação em Engenharia e Meio Ambiente
2545337686252068,Belo Horizonte,MG,Brasil,Instituto Federal  Minas Gerais,Congonhas,MG,Brasil
2572462775582499,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2580986429763465,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2582202671258213,Corinto,MG,Brasil,Oficina da Casa,Belo Horizonte,MG,Brasil
2586202325653230,Betim,MG,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
2622198823346358,Belo Horizonte,MG,Brasil,Faculdades Integradas Pitágoras,Betim,MG,Brasil
2628557550611049,Sete Lagoas,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2664722461551742,Contagem,MG,Brasil,MINAS GERAIS EDUCACAO SA
2671579138286779,Pedro Leopoldo,MG,Brasil,Instituto Federal de Santa Catarina,São Lourenço do Oeste,SC,Brasil
,Araxá,MG,Brasil,Tibunal de Justiça do Estado de Minas Gerais,Belo Horizonte,MG,Brasil
2759397663052419,Mariana,MG,Brasil,Rede Inova
2763286712009012,Leopoldina,MG,Brasil,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Rio de Janeiro,RJ,Brasil
2774946715740027,Divinopólis,MG,Brasil,Universidade Federal de Uberlândia,Uberlândia,MG,Brasil
2779265978428042,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2792357895049279,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2835433621443406,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2858047951009808,Bom Despacho,MG,Brasil,Universidade do Estado de Minas Gerais
2888501805559990,Governador Valadares,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2927636393829724,Contagem,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2962992091083183,,,Brasil,Université du Luxembourg
3017936660747980,Conselheiro Lafaiete,MG,Brasil,Nova Economia (UFMG)
3037359640502906,Bleo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Divinópolis,MG,Brasil
3081335079399561,Belo Horizonte,MG,Brasil,Universidade do Estado de Minas Gerais - UEMG Unidade Divinópolis,Divinópolis,MG,Brasil
3084251272040826,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
3109237342394417,Belo Horizonte,MG,Brasil,Companhia de Pesquisa de Recursos Minerais,Belo Horizonte,MG,Brasil
3209006279873697,Coxim,MS,Brasil,Universidade Federal de Mato Grosso do Sul,Campo Grande,MS,Brasil
3265727266094418,Belo Horizonte,MG,Brasil,Universidade Federal Fluminense,Niterói,RJ,Brasil
3334471497786718,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
3345095295680144,Fortaleza,CE,Brasil,Instituto Federal do Ceará - Reitoria,Fortaleza,CE,Brasil
3350234515830996,Rio de Janeiro,RJ,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
3364052641493334,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
3401819655719801,Leopoldina,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Leopoldina,MG,Brasil
3406193940120417,Sabará,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais
3424921071626104,Belo Horizonte,MG,Brasil,Centro de Desenvolvimento de Tecnologia Nuclear,Belo Horizonte,MG,Brasil
3428069418812707,,,Brasil,Universidade Federal de Minas Gerais
3494771555107693,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
3518531140136427,Montes Claros,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
3518627763230809,Belo Horizonte,MG,Brasil,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",Cachoeiro de Itapemirim,ES,Brasil
3540448178525491,Belo Horizonte,MG,Brasil,Instituto Federal  Minas Gerais,Ouro Preto,MG,Brasil
3565264069058355,Belo Horizonte,MG,Brasil,Gerência de Inspeção de Produtos de Origem Vegetal - Diretoria Técnica,Belo Horizonte,MG,Brasil
3627302739758354,Belo Horizonte,MG,Brasil,"Red, Orange and Green Tecnologias Ambientais"
3638684089799161,Araguari,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
3677015295211434,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
3681609226454255,Belo Horizonte,MG,Brasil,Instituto Hermes Pardini,Belo Horizonte,MG,Brasil
3745283459397281,"Vila Costina, Pains",MG,Brasil,Rede Tematica em Engenharia de Materiais
3748310244446316,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
3772555251552040,,,Brasil,American Journals Experts
3774316982731542,Belo Horizonte,MG,Brasil,Universidade Federal do Piauí,Parnaíba,PI,Brasil
3784737339513036,Ipatinga,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
3785723672533502,Belo Horizonte,MG,Brasil,Instituto Federal de Educação Ciência e Tecnologia de Rondônia,Cacoal,RO,Brasil
3829215216822072,Rio de Janeiro,RJ,Brasil,Universidade Vila Velha,Vila Velha,ES,Brasil
3835315845534573,São João Del Rei,MG,Brasil,Universidade Estadual de Roraima
3979732857560995,Arcos,MG,Brasil,Centro Universitário UNA
4122431107919183,Divinopolis,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
4165808414522521,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
4180805476847844,Belo Horizonte,MG,Brasil,Nangate Laboratory Research
4194131672447100,Belo Horizonte,MG,Brasil,Fundação João Pinheiro,Belo Horizonte,MG,Brasil
4200591651892510,BELO HORIZONTE,MG,Brasil,Universidade Federal de Minas Gerais
4259247365857302,SÃO JOÃO DEL REI,MG,Brasil,Centro Universitário Tocantinense Presidente Antônio Carlos
4266313293704237,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
4276256422569031,Oliveira,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Divinópolis,MG,Brasil
4314325660217895,Belo Horizonte,MG,Brasil,Grupo de Astronomia e Astrofísica da PUC Minas
4340315896207802,Contagem,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
4357223967149299,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Curvelo,MG,Brasil
4360044696999610,PIRAPORA,MG,Brasil,Universidade Federal de Itajubá,Itabira,MG,Brasil
4402320597450647,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
4458887662542960,Belo Horizonte,MG,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
4462037419032746,Belo Horizonte,MG,Brasil,Centro Universitário UNA,Belo Horizonte,MG,Brasil
4531275061741800,Belo Horizonte,MG,Brasil,Caixa Econômica Federal,Belo Horizonte,MG,Brasil
4547166859048137,Belo Horizonte,MG,Brasil,Universidade Federal de Catalão,Catalão,GO,Brasil
4679830870331445,Araújos,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
4698512062201600,Contagem,MG,Brasil,Universidade Federal de São João Del-Rei,Ouro Branco,MG,Brasil
4728678389336576,Alvinópolis,MG,Brasil,IF Sudeste de Minas Gerais - Campus de Barbacena,Barbacena,MG,Brasil
4764718577520188,Vicente Pires,DF,Brasil,Departamento de Polícia Federal,Brasilia,DF,Brasil
4779510923828304,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
4909820733560882,Pedro Leopoldo,MG,Brasil,Fiat Automoveis - Matriz
4921331161781258,Belo Horizonte,MG,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
4941896019083181,,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais
5010373539840846,Governador Valadares,MG,Brasil,Universidade Federal Fluminense,Volta Redonda,RJ,Brasil
5011597168328844,Belo Horizonte,MG,Brasil,Universidade do Estado de Minas Gerais,Belo Horizonte,MG,Brasil
5043473256298017,Belo Horizonte,MG,Brasil,Universidade Estadual de Campinas
5092556253652672,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
5099347989756580,Belo Horizonte,MG,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
5128082066328670,Belo Horizonte,MG,Brasil,Secretaria de Estado da Educação de Minas Gerais
5135893820191948,Belo Horizonte,MG,Brasil,GESMED GESTAO ESTRATEGICA EM SAUDE S/A
5151080740697775,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
5153981776563691,Conselheiro Lafaiete,MG,Brasil,Universidade Federal de Ouro Preto,Conselheiro Lafaiete,MG,Brasil
5199859493258720,Machado,MG,Brasil,Universidade Federal de Itajubá,Itabira,MG,Brasil
5265495222855925,Gama,DF,Brasil,Diretoria Técnico-Científica da Polícia Federal,Brasília,DF,Brasil
5267562662055432,Florestal,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
5277144058540004,Formiga,MG,Brasil,Instituto Federal  Minas Gerais,Formiga,MG,Brasil
5290987560774762,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
5304266547040741,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
5319542946526638,Araxá,MG,Brasil,Faculdades Ciências da Vida
5373322603678485,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
5433933734735957,Belo Horizonte,MG,Brasil,Universidade do Estado de Minas Gerais
5436225455408324,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
5442940710967972,Contagem,MG,Brasil,Fiat Chrysler Automobiles LATAM,Betim,MG,Brasil
5443213142115433,SÃO PAULO,SP,Brasil,Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,Janaúba,MG,Brasil
5480800213669820,Rio Pardo de Minas,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
5512353012652671,Nova Lima,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
5530736902466675,Belo Horizonte,MG,Brasil,Universidade Federal Fluminense,Volta Redonda,RJ,Brasil
5540405966103594,Belo Horizonte,MG,Brasil,Universidade Federal do Piauí,Picos,PI,Brasil
5561327925960518,Belo Horizonte,MG,Brasil,Centro Universitário Newton Paiva,Belo Horizonte,MG,Brasil
5570596020339644,Fortaleza,CE,Brasil,Instituto Federal de Educação Ciência e Tecnologia de Minas Gerais,Ipatinga,MG,Brasil
5585695543885378,Belo Horizonte,MG,Brasil,Faculdade Pitágoras,Belo Horizonte,MG,Brasil
5640771633267364,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
5691878994157298,CONTAGEM,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
5705188219706463,Morada Nova,CE,Brasil,Instituto Federal do Ceará - Reitoria,Fortaleza,CE,Brasil
5712697168976259,Divinópolis,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
5729578492178529,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
5731002052937691,Bele Horizonte,MG,Brasil,Laboratório Federal de Defesa Agropecuária,Pedro Leopoldo,MG,Brasil
5765902290760778,Brasilia,DF,Brasil,Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK
5792108556365679,Rio de Janeiro,RJ,Brasil,Universidade Federal de Viçosa,Vicosa,MG,Brasil
5892357969061565,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
5963901023843382,Apucarana,PR,Brasil,Universidade Tecnológica Federal do Paraná,Curitiba,PR,Brasil
5964159104969127,Juiz de Fora,MG,Brasil,Instituto Federal  Minas Gerais,Itabirito,MG,Brasil
6006926789165869,Divinópolis,MG,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
6033859857820145,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
6116943161708335,Rio de Janeiro,RJ,Brasil,Instituto de Desenvolvimento Integrado de Minas Gerais,Belo Horizonte,MG,Brasil
6143634759991676,João Pinheiro,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Contagem,MG,Brasil
6174740089266206,Belo Horizonte,MG,Brasil,Universidade Salgado de Oliveira,Belo Horizonte,MG,Brasil
6198292706168740,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
6249398665599038,Camanducaia,MG,Brasil,Universidade FUMEC,Belo Horizonte,MG,Brasil
6270631588851891,Belo Horizonte,MG,Brasil,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,Porto Alegre,RS,Brasil
,Belo Horizonte,MG,Brasil,ImTraff,Belo Horizonte,MG,Brasil
6310375595061108,Santa Rosa da Serra,MG,Brasil,Comissão Nacional de Energia Nuclear,Belo Horizonte,MG,Brasil
6340987109733541,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
6349325839574910,Belo Horizonte,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
6380279792809473,Cataguases,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Leopoldina,MG,Brasil
6397773540613843,São Paulo,SP,Brasil,Revista Brasileira de Estudos de População (Impresso)
6402089315358170,Belo Horizonte,MG,Brasil,Universität Freiburg
6404379893524509,Belo Horizonte,MG,Brasil,Fundação Dom Cabral,Nova Lima,MG,Brasil
6489953426611389,Nepomuceno,MG,Brasil,Universidade Federal de Lavras
6584745594834479,Leopoldina,MG,Brasil,Boletim do Museu Paraense Emilio Goeldi. Ciencias Naturais
6689695922377496,Belo Horizonte,MG,Brasil,Centro de Pesquisa e Desenvolvimento Leopoldo Américo Miguêz de Mello,Rio de Janeiro,RJ,Brasil
6691013327359506,Belo Horizonte,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
6697814933891299,Belo Horizonte,MG,Brasil,Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Salinas,MG,Brasil
6710925048002804,Rio de Janeiro,RJ,Brasil,Hiperlab Equipamentos Científicos
6727880359744587,Rio de Janeiro,RJ,Brasil,Estudio Alfavaca
6735080670321163,Lavras,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
6775765340535061,Belo Horizonte,MG,Brasil,Centro Universitário UniBh,Belo Horizonte,MG,Brasil
