Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0529973259046894,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1981,1983,Engenharia Química,Universidade Federal de Minas Gerais,1985,1990,,,,,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,1992,1994,Engenharia Mecânica,Universidade Federal de Minas Gerais,2008,2012
0544360374992066,,,,,,,,,Comunicação Social - Habilitação Em Jornalismo,Pontifícia Universidade Católica de Minas Gerais,2004,2008,Produção Em Mídias Digitais,Pontifícia Universidade Católica de Minas Gerais,2009,,Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2010,2012,Estudo De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2016,
0570351348662387,,,,,,,,,Educação Artística - Música,Universidade do Estado de Minas Gerais,2003,2007,,,,,Artes,Universidade Federal de Minas Gerais,2009,2011,Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2017,
0573379397721449,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2011,,,,,Engenharia Química,Universidade Federal de Minas Gerais,2012,2015,Programa De Pós-graduaçãoemengenharia Química - Ufmg,Universidade Federal de Minas Gerais,2016,2021
0600049394426786,,,,, Mecânico,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1989,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1995,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,1997,1999,Engenharia Aeronâutica E Mecânica,Instituto Tecnológico de Aeronáutica,2000,2005
0631558505207317,,,,,,Colégio União,2010,2010,Química,Fundação Universidade de Itaúna,2003,2006,,,,,Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais,2011,2013,Química,Universidade Federal de Minas Gerais,2013,2017
0643030653806512,,,,,Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1980,1983,Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais,1984,1989,,,,,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,2002,2004,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,2005,2009
0655100159335962,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1995,Engenharia Mecânica Com Ênfase Mecatrônica,Pontifícia Universidade Católica de Minas Gerais,1996,2001,,,,,Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais,2002,2004,Engenharia Mecânica,UFMG,2004,2008
0661827429605846,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2004,Engenharia Elétrica,Universidade Federal de Minas Gerais,2004,2009,,,,,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,2009,2014
0667848420866221,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1996,Abi - Ciências Sociais,Universidade Federal de Minas Gerais,2002,2003,,,,,Desenvolvimento E Meio Ambiente,Universidade Federal de Pernambuco,2012,2013,Psicossociologia De Comunid.e Ecologia Social,Universidade Federal do Rio de Janeiro,2016,2020
0700158294516288,,,,, Eletrônico,Centro Federal de Educação Tecnológica de Minas Gerais,1999,2001,Engenharia Elétrica,Universidade Federal de Juiz de Fora,2003,2008,,,,,Engenharia Elétrica,Universidade Federal de Juiz de Fora,2008,2011,Engenharia Elétrica,Universidade Federal de Juiz de Fora,2011,2015
0720534218203801,,,,,Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1979,1981,Licendiatura Plena Para Graduação De Professores,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1988,,,,,Engenharia Mecänica,Universidade Federal de Minas Gerais,1989,1993,Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais,2009,2013
0725800206328814,,,,,Ensino Profissional De Nível ,Universidade do Vale do Paraíba,1996,1997,Engenharia Civil,Universidade do Vale do Paraíba,1998,2004,,,,,Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais,2009,2011,Geotecnia,Universidade Federal de Ouro Preto,2014,2017
0783179484317105,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1996,1998,Engenharia De Produção Civil,Centro Federal de Educação Tecnológica de Minas Gerais,1999,2004,,,,,Construção Civil,Universidade Federal de Minas Gerais,2006,2007,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,2008,2012
0951174312888313,,,,,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2011,2012,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2012,2014,Física,Universidade Federal de Minas Gerais,2016,2020
0976210016960340,,,,,,,,,Licenciatura Plena/esquema 1,Centro Federal de Educação Tecnológica de Minas Gerais,1997,1997,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,1993,1996,Engenharia Mecânica,Universidade Federal de Minas Gerais,2002,2007
1004602872315324,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,Química Industrial,Universidade Federal de Ouro Preto,2009,2013,,,,,Evolução Crustal E Recursos Naturais,Universidade Federal de Ouro Preto,2013,2015,Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais,Universidade Federal de Ouro Preto,2016,2020
1021637321450049,,,,,,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",1980,1983,Licenciatura Plena Em Eletricidade,Centro Federal de Educação Tecnológica de Minas Gerais,1988,1990,,,,,Física,Universidade Federal de Goiás,1994,1998,Engenharia Elétrica,Universidade Estadual Paulista Júlio de Mesquita Filho,2000,2004
1025488431740232,,,,,,,,,Ciência Da Computação,Centro Universitário de Belo Horizonte,2001,2006,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2007,2009,Ciências Da Computação,Universidade Federal de Minas Gerais,2010,2016
1114741703148406,,,,, Administração,Central de Ensino e Desenvolvimento Agrário de Florestal,1995,1997,Gestão E Matemática - Prog. Esp. De Form. Ped.. P. Docentes,Centro Federal de Educação Tecnológica de Minas Gerais,2007,2007,,,,,Ciências Sociais,Pontifícia Universidade Católica de São Paulo,2008,2010,Administração,Universidade Federal de Minas Gerais,2013,2017
1122087285483382,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2003,2005,Química,Universidade Federal de Minas Gerais,2007,2011,,,,,Química,Universidade Federal de Minas Gerais,2013,2015,Química Analítica,Universidade Federal de Minas Gerais,2015,2019
1150050058028878,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1996,Engenharia Elétrica,Instituto Nacional de Telecomunicações,1998,2002,,,,,Telecomunicações,Instituto Nacional de Telecomunicações,2003,2005,Engenharia Elétrica,Universidade Federal de Minas Gerais,2009,2014
1172487603215469,,,,,,,,,Licenciatura Plena,Universidade para o Trabalho de Minas Gerais,2003,2003,,,,,Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais,2007,2009,Estruturas,Universidade Federal de Minas Gerais,2010,2014
1184490161532508,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1991,1994,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,2000,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,2000,2001,Geografia E Gestão Ambiental,University of Waterloo,2006,2010
1202901189979381,,,,,,,,,Matemática,Universidade Federal de Minas Gerais,2006,2009,,,,,Matemática,Universidade Federal de Minas Gerais,2011,2012,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2017,2021
1227625992961768,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1994,Geologia,Universidade Federal de Minas Gerais,1996,2002,,,,,Geologia,Universidade Federal de Minas Gerais,2002,2004,Geology,The University of Western Australia,2005,2006
1242222773214809,,,,,Meio Ambiente,Centro Federal de Educação Tecnológica de Minas Gerais,2007,2010,Ciências Biológicas,Universidade Federal de Minas Gerais,2009,2013,,,,,Ecologia (conservação E Manejo Da Vida Silvestre),Universidade Federal de Minas Gerais,2014,2016,"Ecologia, Conservacao E Manejo Da Vida Silvestre",Universidade Federal de Minas Gerais,2017,2021
1302666258264971,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1978,1980,Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais,1981,1986,,,,,Engenharia Mecânica,Departamento de Engenharia Mecânica,1988,1991,Engenharia Elétrica,Universidade Estadual de Campinas,1996,2007
1314034018345171,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1982,1985,Quimica,Instituto de Química,1987,1991,"Especialista Em Gestão De Políticas De Ciência, Tecnologia E Inovação",Escola Nacional de Administração Pública,2017,,Química,Instituto de Química,1992,1995,Química,Universidade Estadual de Campinas,1995,2002
1331652492006790,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1996,Engenharia Elétrica,Universidade Federal de Minas Gerais,1998,2003,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,2003,2005,Engenharia Elétrica,Universidade Federal de Minas Gerais,2005,2009
