Origem,Destino
"Centro de Desenvolvimento da Tecnologia Nuclear/MESTRADO/Ciência E Tecnologia Das Radiações, Mi",Universidade Federal de Minas Gerais/DOUTORADO/Ciências Técnicas Nucleares
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Estadual de Montes Claros/GRADUACAO/Matemática
Universidade Estadual de Montes Claros/GRADUACAO/Matemática,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Estadual de Campinas/DOUTORADO/Matemática Aplicada
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Geologia
Universidade Federal de Minas Gerais/GRADUACAO/Geologia,Universidade Federal de Ouro Preto/MESTRADO/Evolução Crustal E Recursos Naturais
Universidade Federal de Ouro Preto/MESTRADO/Evolução Crustal E Recursos Naturais,Universidade Federal de Ouro Preto/DOUTORADO/Evolução Crustal E Recursos Naturais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Administração
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Administração,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Administração
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Administração,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Programa De Pós-graduação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Liceciatura Em Química
Universidade Federal de Minas Gerais/GRADUACAO/Liceciatura Em Química,Universidade Federal do Ceará/MESTRADO/Química Inorgânica
Universidade Federal do Ceará/MESTRADO/Química Inorgânica,Universidade Federal do Ceará/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Historia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Historia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Historia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil - Concentração Estruturas
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil - Concentração Estruturas,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia De Estruturas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Geologia
Universidade Federal de Minas Gerais/GRADUACAO/Geologia,Universidade Federal de Minas Gerais/MESTRADO/Geologia
Universidade Federal de Minas Gerais/MESTRADO/Geologia,Universidade Federal de Minas Gerais/DOUTORADO/Geologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,"Centro de Desenvolvimento de Tecnologia Nuclear/MESTRADO/Ciên. E Tec. Das Radiações, Minerais E Materiais"
"Centro de Desenvolvimento de Tecnologia Nuclear/MESTRADO/Ciên. E Tec. Das Radiações, Minerais E Materiais","Centro de Desenvolvimento de Tecnologia Nuclear/DOUTORADO/Ciência E Tecnologia Das Radiações, Minerais E Materiais"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências Biológicas
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências Biológicas,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Física
Universidade Federal de Ouro Preto/GRADUACAO/Física,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Nutrição
Universidade Federal de Viçosa/GRADUACAO/Nutrição,Universidade Federal de Viçosa/MESTRADO/Ciência Da Nutrição
Universidade Federal de Viçosa/MESTRADO/Ciência Da Nutrição,Universidade Federal de Viçosa/DOUTORADO/Ciência E Tecnologia De Alimentos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Departamento de Química/GRADUACAO/Quimica
Departamento de Química/GRADUACAO/Quimica,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Estadual de Campinas/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal do Espírito Santo/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para Ensino De Segundo Grau Mod
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para Ensino De Segundo Grau Mod,Universidade Estadual de Campinas/MESTRADO/Engenharia Mecânica
Universidade Estadual de Campinas/MESTRADO/Engenharia Mecânica,Universidade Estadual de Campinas/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Santa Catarina/DOUTORADO/Pós Engenharia De Automação E Sistemas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas,Universidade Estadual de Campinas/DOUTORADO/Engenharia Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação João Pinheiro/GRADUACAO/Administração Pública
Fundação João Pinheiro/GRADUACAO/Administração Pública,Fundação João Pinheiro/MESTRADO/Administração Pública
Fundação João Pinheiro/MESTRADO/Administração Pública,Universidad Simon Bolivar/DOUTORADO/Ciencia Política
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
Universidade Federal de Minas Gerais/GRADUACAO/Física,Universidade Federal de Minas Gerais/MESTRADO/Educação
Universidade Federal de Minas Gerais/MESTRADO/Educação,Universidade Federal de Minas Gerais/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia/MESTRADO/Geotecnia
Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia/MESTRADO/Geotecnia,Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia/DOUTORADO/Geotecnia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,"Universidade Federal de Minas Gerais/MESTRADO/Ecologia, Conservacao E Manejo Da Vida Silvestre"
"Universidade Federal de Minas Gerais/MESTRADO/Ecologia, Conservacao E Manejo Da Vida Silvestre",Universidade Federal de Minas Gerais/DOUTORADO/Genética
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Eletrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Eletrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Eng. Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Eng. Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia De Estruturas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecatrônica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecatrônica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal do Ceará/GRADUACAO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Eletrônica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Eletrônica,Universidade Federal da Paraíba/MESTRADO/Engenharia Eletrica
Universidade Federal da Paraíba/MESTRADO/Engenharia Eletrica,Universidade Federal de Campina Grande/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Eletrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Eletrica,Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares
Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares,Universidade Federal do Espírito Santo/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Universidade Federal de Minas Gerais/MESTRADO/Estudos Literários
Universidade Federal de Minas Gerais/MESTRADO/Estudos Literários,Universidade Federal de Minas Gerais/DOUTORADO/Estudos Literários
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Estatística
Universidade Federal de Minas Gerais/GRADUACAO/Estatística,Universidade Federal de Minas Gerais/MESTRADO/Estatística
Universidade Federal de Minas Gerais/MESTRADO/Estatística,Universidade Católica de Brasília/DOUTORADO/Economia De Empresa
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Odontologia
Universidade Federal de Minas Gerais/GRADUACAO/Odontologia,Universidade Federal de Minas Gerais/MESTRADO/Ciências Biológicas (microbiologia)
Universidade Federal de Minas Gerais/MESTRADO/Ciências Biológicas (microbiologia),Universidade Federal de Minas Gerais/DOUTORADO/Ciências Biológicas (microbiologia)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal do Acre/GRADUACAO/Licenciatura Plena Em Matemática
Universidade Federal do Acre/GRADUACAO/Licenciatura Plena Em Matemática,Universidade Federal de Itajubá/MESTRADO/Engenharia Mecânica
Universidade Federal de Itajubá/MESTRADO/Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Ciência Da Computação
Universidade Federal de Ouro Preto/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matematica E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matematica E Computacional,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia,Universidad del Museo Social Argentino/DOUTORADO/Ciencias Empresariales
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física (licenciatura)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia De Materiais,Instituto Militar de Engenharia/MESTRADO/Ciências Dos Materiais
Instituto Militar de Engenharia/MESTRADO/Ciências Dos Materiais,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção
Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção,Universidade Federal de Santa Catarina/DOUTORADO/Engenharia E Gestão Do Conhecimento
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Metalúrgica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Metalúrgica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Letras
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Letras,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Letras E Linguística
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais Campus Divinópolis/GRADUACAO/Engenharia Mecatrônica
Centro Federal de Educação Tecnológica de Minas Gerais Campus Divinópolis/GRADUACAO/Engenharia Mecatrônica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Santa Catarina/DOUTORADO/Engenharia De Automação E Sistemas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras - Inglês
Universidade Federal de Minas Gerais/GRADUACAO/Letras - Inglês,Universidade Federal de Minas Gerais/MESTRADO/Estudos Lingüísticos
Universidade Federal de Minas Gerais/MESTRADO/Estudos Lingüísticos,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Academia - UniAcademia/GRADUACAO/Tecnologia Em Processamento De Dados
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Academia - UniAcademia/GRADUACAO/Tecnologia Em Processamento De Dados
Centro Universitário Academia - UniAcademia/GRADUACAO/Tecnologia Em Processamento De Dados,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Federal de Viçosa/DOUTORADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Estadual de Montes Claros/GRADUACAO/Ciências Biológicas - Bacharelado
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica De Docentes
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica De Docentes,Universidade Federal de Minas Gerais/MESTRADO/Biologia Vegetal
Universidade Federal de Minas Gerais/MESTRADO/Biologia Vegetal,Universidade Federal de Minas Gerais/DOUTORADO/Biologia Vegetal
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Metodista Izabela Hendrix/GRADUACAO/Biologia
Centro Universitário Metodista Izabela Hendrix/GRADUACAO/Biologia,"Universidade Federal de Minas Gerais/MESTRADO/Saneamento, Meio Ambiente E Recursos Hídricos"
"Universidade Federal de Minas Gerais/MESTRADO/Saneamento, Meio Ambiente E Recursos Hídricos",Universidade Federal de Minas Gerais/DOUTORADO/Biologia Vegetal
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção
Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia De Produção
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Politécnico/GRADUACAO/Engenharia Mecanica
Instituto Politécnico/GRADUACAO/Engenharia Mecanica,REDEMAT/MESTRADO/Engenharia De Materiais
REDEMAT/MESTRADO/Engenharia De Materiais,Universidade Federal de Ouro Preto/DOUTORADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena De Professores
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena De Professores,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química Bacharelado
Universidade Federal de Minas Gerais/GRADUACAO/Química Bacharelado,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Química Orgânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica,Universidade de Brasília/DOUTORADO/Ciências Da Informação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Claretiano Centro Universitário/GRADUACAO/Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Claretiano Centro Universitário/GRADUACAO/Computação
Claretiano Centro Universitário/GRADUACAO/Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade de Ribeirão Preto/DOUTORADO/Biotecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem E Controle De Sistemas
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem E Controle De Sistemas,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Federal de Minas Gerais/MESTRADO/Construção Civil
Universidade Federal de Minas Gerais/MESTRADO/Construção Civil,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia De Estruturas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Agronomia
Universidade Federal de Viçosa/GRADUACAO/Agronomia,Universidade Federal de Viçosa/MESTRADO/Ciências Agrárias (fisiologia Vegetal)
Universidade Federal de Viçosa/MESTRADO/Ciências Agrárias (fisiologia Vegetal),Universidade Federal de Viçosa/DOUTORADO/Ciências Agrárias (fisiologia Vegetal)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Enfermagem
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Enfermagem,Universidade Federal de Minas Gerais/MESTRADO/Enfermagem
Universidade Federal de Minas Gerais/MESTRADO/Enfermagem,Universidade Federal de Minas Gerais/DOUTORADO/Enfermagem
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Católica de Brasília/GRADUACAO/Programa Especial De Formação De Docente
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Católica de Brasília/GRADUACAO/Programa Especial De Formação De Docente
Universidade Católica de Brasília/GRADUACAO/Programa Especial De Formação De Docente,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química Tecnológica
Universidade Federal de Minas Gerais/GRADUACAO/Química Tecnológica,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Academia - UniAcademia/GRADUACAO/Sistemas De Informação
Centro Universitário Academia - UniAcademia/GRADUACAO/Sistemas De Informação,Universidade Federal de Juiz de Fora/MESTRADO/Ciência Da Computação
Universidade Federal de Juiz de Fora/MESTRADO/Ciência Da Computação,Universidade Federal do Rio de Janeiro/DOUTORADO/Engenharia De Sistemas E Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Geologia
Universidade Federal de Minas Gerais/GRADUACAO/Geologia,Universidade Federal de Minas Gerais/MESTRADO/Geologia
Universidade Federal de Minas Gerais/MESTRADO/Geologia,Universidade Federal de Ouro Preto/DOUTORADO/Evolução Crustal E Recursos Naturais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia Habilitação Indústria
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia Habilitação Indústria,Universidade Federal de Minas Gerais/MESTRADO/Ciências Farmacêuticas
Universidade Federal de Minas Gerais/MESTRADO/Ciências Farmacêuticas,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Farmacêuticas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdade de Filosofia e Letras de Diamantina/GRADUACAO/Letras
Faculdade de Filosofia e Letras de Diamantina/GRADUACAO/Letras,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/História
Universidade Federal de Minas Gerais/GRADUACAO/História,Universidade Federal de Minas Gerais/MESTRADO/História
Universidade Federal de Minas Gerais/MESTRADO/História,Universidade de Coimbra/DOUTORADO/Mundo Antigo
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Uberlândia/GRADUACAO/Agronomia
Universidade Federal de Uberlândia/GRADUACAO/Agronomia,Universidade Federal de Lavras/MESTRADO/Ciência Do Solo
Universidade Federal de Lavras/MESTRADO/Ciência Do Solo,Universidade de Brasília/DOUTORADO/Ecologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engeharia Elétrica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engeharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
