Origem,Destino
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Letras
Universidade Federal de São João Del-Rei/GRADUACAO/Letras,Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura
Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura,"Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Discurso, Mídia E Tecnologia"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia,Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares
Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Técnicas Nucleares
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Física
Universidade Federal de Minas Gerais/MESTRADO/Física,Universidade Federal de Minas Gerais/DOUTORADO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Alagoas/GRADUACAO/Direito - Bacharelado
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Química Pura E Aplicada
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Química Pura E Aplicada,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca/MESTRADO/Engenharia De Produção E Sistemas
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca/MESTRADO/Engenharia De Produção E Sistemas,Universidade Federal de Alagoas/DOUTORADO/Química E Biotecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia,Universidade Federal de Minas Gerais/MESTRADO/Medicina Veterinária
Universidade Federal de Minas Gerais/MESTRADO/Medicina Veterinária,Universidade de São Paulo/DOUTORADO/Ciências Farmacêuticas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Habilitação Em Jornalismo
