Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
1150050058028878,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1996,,,,,,,,,,,,,,,,
1172487603215469,,,,,,,,,,,,,,,,,Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais,2007,2009,,,,
1184490161532508,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1991,1994,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,2000,,,,,,,,,,,,
1202901189979381,,,,,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2017,2021
1227625992961768,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1994,,,,,,,,,,,,,,,,
1242222773214809,,,,,Meio Ambiente,Centro Federal de Educação Tecnológica de Minas Gerais,2007,2010,,,,,,,,,,,,,,,,
1302666258264971,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1978,1980,,,,,,,,,,,,,,,,
1314034018345171,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1982,1985,,,,,,,,,,,,,,,,
1331652492006790,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1996,,,,,,,,,,,,,,,,
1340927379186239,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1975,1977,,,,,,,,,,,,,,,,
1358275083432388,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2011,2013,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2018
1383558830607731,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2011,2013,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2014,2019
1417352534474752,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1983,1985,Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1986,1990,,,,,,,,,,,,
1442485713184411,,,,,,,,,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1979,1984,,,,,,,,,,,,
