Identificador,Pontuação
9939452591905541,1
9950126045224559,1
0001254051266765,1
0023587234892072,1
0032946771655881,1
0041269300389148,3
0070590121266298,1
0078450303545325,1
0086922403272399,1
0111421345890975,1
0115883050967285,1
,2
,1
0130862227047561,1
0133579487074837,1
0134742671677643,2
0137908977525812,1
,1
0148689717369496,1
0165195251357013,1
0180533725445627,1
0203091675010444,1
0204288055870845,1
0207636363252117,1
0212216056662038,1
0229451053312290,1
0236400279872187,1
,1
0251209535461863,1
0254096484236621,1
0274746359633010,1
0275924637110340,2
0283060045146102,1
0296512029208381,1
0301675641260630,3
0386463322601077,1
0387424672760929,2
0392579494942618,2
,1
0398691158224626,1
0401770406497920,1
0424202774631725,1
0432109859663628,1
,1
0462559704169996,2
0473207439121319,1
0474822226913558,1
0479955257441396,1
0480363684778170,1
0490596902713548,1
,1
0503772383273150,1
0509819283994724,1
0516607448845086,1
0517372378645684,1
0522046662381115,4
0523422745592699,2
0524436323864831,3
0549873913008159,1
0556620313680924,1
0567160950149386,2
0607282523645907,1
0617499913301856,1
0633127301502872,1
0644334810277344,1
0650201236330018,1
0656360404647373,1
0657123876559235,1
0659542609323901,1
0672048578327465,1
0673656750646601,3
,1
0683381689716954,1
0701201312791286,1
0704570168373296,1
0705470362325086,1
,1
0709866672035412,1
0719949615864724,1
0720442714328433,2
0726354332826472,1
0736777905305940,1
0742752505737842,1
0765338340787795,1
0774272433141362,1
0783863176050080,1
0785069866724240,1
0786332301788268,1
0791308676026962,2
0792355070169268,2
,1
,1
0810805273448110,1
0826978369119896,1
0838592982926485,1
0857782480121184,1
0862734683047770,2
0868215401510560,2
0900232726212035,1
0907112810709494,1
0911755595480801,2
0925340617302716,1
0932050603759522,2
0934264391718687,1
0940521683671091,1
0942895780584218,1
0954376072098941,1
0956575726840457,2
0958420054433094,2
0963123026589301,1
0972281056910330,1
0990078155825285,1
0993471331298380,1
0993588278753046,1
0996393484614992,3
1015088328345163,1
1024742575145348,1
1025313430751739,1
1038649039353611,2
,1
1046932577696821,1
1062319529573634,1
1076678949669888,1
1077303391317030,1
1087606309261973,1
1098091598372916,1
1103889236510933,1
1112902494962103,2
1122344148508171,1
1127544923107284,1
1136163180834795,1
1147361502899231,1
1166042638547658,1
1174073723312072,1
1179144689665436,1
1188484679450351,1
1215772224540095,1
1215875131242509,1
1228147058335324,1
