Identificador,Grande Área,Área
0069955147703693,CIENCIAS_BIOLOGICAS,Genética
0071198026371230,CIENCIAS_DA_SAUDE,Educação Física
0071340809284453,CIENCIAS_AGRARIAS,Medicina Veterinária
0072173018005712,CIENCIAS_EXATAS_E_DA_TERRA,Química
0072291019903193,CIENCIAS_HUMANAS,Filosofia
0072597586528754,CIENCIAS_BIOLOGICAS,Morfologia
0072954652250238,CIENCIAS_BIOLOGICAS,Fisiologia
0073683944502104,CIENCIAS_HUMANAS,Ciência Política
0074522485800784,CIENCIAS_EXATAS_E_DA_TERRA,Química
0074833031020069,CIENCIAS_AGRARIAS,Zootecnia
0074852467021389,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
0076640418969266,CIENCIAS_DA_SAUDE,Educação Física
0078761969684137,CIENCIAS_DA_SAUDE,Medicina
0079401220807071,CIENCIAS_HUMANAS,Educação
0081210618221925,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0082270935193984,CIENCIAS_EXATAS_E_DA_TERRA,Física
0084554486502562,CIENCIAS_EXATAS_E_DA_TERRA,Química
0084980191573168,CIENCIAS_DA_SAUDE,Odontologia
0088227879433410,CIENCIAS_DA_SAUDE,Enfermagem
0089739298242263,CIENCIAS_EXATAS_E_DA_TERRA,Química
0090037095817957,CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo
0090865315012529,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0090899748648437,LINGUISTICA_LETRAS_E_ARTES,Letras
0091292234916055,CIENCIAS_EXATAS_E_DA_TERRA,Física
0091501164531871,CIENCIAS_BIOLOGICAS,Ecologia
0093267389008960,ENGENHARIAS,Engenharia de Transportes
0094007714707651,CIENCIAS_BIOLOGICAS,Genética
0094488560035820,CIENCIAS_AGRARIAS,Agronomia
0095031067497364,CIENCIAS_SOCIAIS_APLICADAS,Administração
0096272280433688,LINGUISTICA_LETRAS_E_ARTES,Letras
0096549701457340,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0097683734501706,CIENCIAS_HUMANAS,Antropologia
0098531396277608,CIENCIAS_EXATAS_E_DA_TERRA,Química
0098564066936024,CIENCIAS_AGRARIAS,Agronomia
0099522992282652,LINGUISTICA_LETRAS_E_ARTES,Letras
0099860141022736,CIENCIAS_HUMANAS,Antropologia
0100195996020169,CIENCIAS_HUMANAS,Psicologia
0100619874726856,,
0101190051087933,CIENCIAS_HUMANAS,Psicologia
0102304704866472,CIENCIAS_BIOLOGICAS,Microbiologia
0102364512482073,CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos
0102666260390526,CIENCIAS_BIOLOGICAS,Microbiologia
0103007276004318,CIENCIAS_EXATAS_E_DA_TERRA,Química
0103383524288212,CIENCIAS_BIOLOGICAS,Ecologia
0104272542847732,CIENCIAS_BIOLOGICAS,Fisiologia
0104906936908227,CIENCIAS_HUMANAS,História
0105689257770757,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0105707010434668,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0106185533451710,CIENCIAS_BIOLOGICAS,Microbiologia
0106297558280456,CIENCIAS_BIOLOGICAS,Parasitologia
0107090882082784,CIENCIAS_HUMANAS,Geografia
0107279453428385,CIENCIAS_EXATAS_E_DA_TERRA,Química
0107443653772269,CIENCIAS_SOCIAIS_APLICADAS,Economia
0107474250870898,CIENCIAS_EXATAS_E_DA_TERRA,Química
0107650999179311,CIENCIAS_AGRARIAS,Zootecnia
,CIENCIAS_AGRARIAS,Agronomia
0111360435119889,CIENCIAS_HUMANAS,História
0111936868262951,CIENCIAS_DA_SAUDE,Medicina
0112036159794570,CIENCIAS_DA_SAUDE,Enfermagem
0112082005077236,LINGUISTICA_LETRAS_E_ARTES,Letras
0112866192884217,ENGENHARIAS,Engenharia Química
0113877782649597,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0114053321406787,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0114176315906978,ENGENHARIAS,Engenharia Mecânica
0114396476914548,CIENCIAS_BIOLOGICAS,Bioquímica
0114608950477525,CIENCIAS_EXATAS_E_DA_TERRA,Física
0115447283248209,CIENCIAS_HUMANAS,Psicologia
0115647772315973,CIENCIAS_BIOLOGICAS,Microbiologia
0116792663386170,ENGENHARIAS,Engenharia Química
0117954518807172,CIENCIAS_EXATAS_E_DA_TERRA,Química
0118169228234463,CIENCIAS_BIOLOGICAS,Botânica
0118224405460667,CIENCIAS_HUMANAS,Ciência Política
0118802077232494,CIENCIAS_HUMANAS,Ciência Política
0119884406069222,CIENCIAS_DA_SAUDE,Saúde Coletiva
0120074686860053,CIENCIAS_EXATAS_E_DA_TERRA,Astronomia
0120226021957540,ENGENHARIAS,Engenharia Mecânica
0122947337651561,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0124603260134608,CIENCIAS_DA_SAUDE,Saúde Coletiva
0124807800316091,CIENCIAS_HUMANAS,Antropologia
0126829192805579,CIENCIAS_EXATAS_E_DA_TERRA,Física
0127419824935492,CIENCIAS_HUMANAS,Filosofia
0127519070588616,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0127721236383946,CIENCIAS_EXATAS_E_DA_TERRA,Física
0128308087978829,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0128404227626176,CIENCIAS_BIOLOGICAS,Zoologia
0128415670124607,CIENCIAS_EXATAS_E_DA_TERRA,Física
0129423635403864,CIENCIAS_SOCIAIS_APLICADAS,Administração
0129502059733938,,
0129810966268826,LINGUISTICA_LETRAS_E_ARTES,Artes
0130170792157449,ENGENHARIAS,Engenharia Mecânica
0131201084614247,CIENCIAS_AGRARIAS,Medicina Veterinária
0131770792108992,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0132296692760157,CIENCIAS_EXATAS_E_DA_TERRA,Química
0133638982263969,CIENCIAS_AGRARIAS,Agronomia
0134346662827279,CIENCIAS_BIOLOGICAS,Farmacologia
0134821761458628,CIENCIAS_BIOLOGICAS,Genética
0135737587075569,ENGENHARIAS,Engenharia Civil
0135765503963553,CIENCIAS_BIOLOGICAS,Imunologia
0135861275535490,CIENCIAS_EXATAS_E_DA_TERRA,Química
0136945472934290,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0138099513326464,CIENCIAS_DA_SAUDE,Medicina
0138378882454566,ENGENHARIAS,Engenharia Elétrica
0139109240245453,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0139847188403527,CIENCIAS_SOCIAIS_APLICADAS,Direito
0141183727711568,CIENCIAS_HUMANAS,Educação
0141309529524292,CIENCIAS_AGRARIAS,Agronomia
0141870030182207,CIENCIAS_AGRARIAS,Agronomia
0143144366886534,CIENCIAS_EXATAS_E_DA_TERRA,Física
0143459797857429,CIENCIAS_EXATAS_E_DA_TERRA,Física
0143490577842914,ENGENHARIAS,Engenharia Elétrica
0145442433706142,LINGUISTICA_LETRAS_E_ARTES,Letras
0145929965828271,CIENCIAS_EXATAS_E_DA_TERRA,Física
0146165943413476,OUTROS,Ciências
0146180240654049,CIENCIAS_DA_SAUDE,Saúde Coletiva
0147181014156799,CIENCIAS_BIOLOGICAS,Ecologia
0147241723612464,CIENCIAS_BIOLOGICAS,Bioquímica
0149879668454764,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0151285357488920,ENGENHARIAS,Engenharia Química
0152127758679455,CIENCIAS_HUMANAS,Ciência Política
0152213852695153,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0153804205170190,CIENCIAS_AGRARIAS,Agronomia
0155241294937880,CIENCIAS_SOCIAIS_APLICADAS,Planejamento Urbano e Regional
0156829305274156,CIENCIAS_DA_SAUDE,Medicina
0157149133885713,CIENCIAS_HUMANAS,Educação
0157177135951013,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0157452280626031,ENGENHARIAS,Engenharia Química
0157609658246739,CIENCIAS_EXATAS_E_DA_TERRA,Química
0158036614584571,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0158461643798918,CIENCIAS_HUMANAS,Filosofia
0159010164759435,CIENCIAS_HUMANAS,Educação
0159648961678651,CIENCIAS_BIOLOGICAS,Imunologia
0160318195238506,CIENCIAS_EXATAS_E_DA_TERRA,Física
0160328557166941,,
0160407381424066,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
0161487799376958,CIENCIAS_HUMANAS,Ciência Política
0161747269063291,CIENCIAS_AGRARIAS,Agronomia
0162059400153020,CIENCIAS_BIOLOGICAS,Morfologia
0162127360089625,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0162244851289477,CIENCIAS_AGRARIAS,Engenharia Agrícola
0164067095554570,CIENCIAS_HUMANAS,Educação
0164951587932833,CIENCIAS_SOCIAIS_APLICADAS,Serviço Social
0164966065084195,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0165348738208319,CIENCIAS_BIOLOGICAS,Genética
0167354254513842,ENGENHARIAS,Engenharia Elétrica
0167858725923432,CIENCIAS_EXATAS_E_DA_TERRA,Química
0167966003029391,ENGENHARIAS,Engenharia Elétrica
0168114829646424,CIENCIAS_HUMANAS,História
0169869120306742,ENGENHARIAS,Engenharia Civil
0169967378071426,CIENCIAS_BIOLOGICAS,Fisiologia
0170862557823567,CIENCIAS_HUMANAS,Educação
0170936565256270,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0170971246387300,CIENCIAS_BIOLOGICAS,Zoologia
0171051425848743,CIENCIAS_EXATAS_E_DA_TERRA,Física
0171183220606416,CIENCIAS_EXATAS_E_DA_TERRA,Química
0172046443219636,CIENCIAS_BIOLOGICAS,Genética
0172837599844991,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0173687407965726,CIENCIAS_DA_SAUDE,Medicina
0174372765974716,CIENCIAS_BIOLOGICAS,Genética
0176020585396338,CIENCIAS_EXATAS_E_DA_TERRA,Química
0176303452883262,LINGUISTICA_LETRAS_E_ARTES,Letras
0176535361701386,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0178298579185581,CIENCIAS_HUMANAS,Filosofia
0179027112035262,CIENCIAS_HUMANAS,História
0180245906512843,CIENCIAS_EXATAS_E_DA_TERRA,Física
0180606646463169,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0182863293347169,ENGENHARIAS,Engenharia Elétrica
0183031619955872,CIENCIAS_AGRARIAS,Agronomia
0183840557232248,CIENCIAS_DA_SAUDE,Saúde Coletiva
0184424645432858,ENGENHARIAS,
0186446294097309,ENGENHARIAS,Engenharia Civil
0186857706444299,CIENCIAS_AGRARIAS,Medicina Veterinária
0187547195548392,CIENCIAS_EXATAS_E_DA_TERRA,Física
0187857348523672,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0188606139001986,CIENCIAS_DA_SAUDE,Odontologia
0189095897739979,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0189644589413057,CIENCIAS_SOCIAIS_APLICADAS,Administração
0190128964748843,CIENCIAS_EXATAS_E_DA_TERRA,Física
0190530879188803,CIENCIAS_AGRARIAS,Agronomia
0191175314768692,CIENCIAS_DA_SAUDE,Fonoaudiologia
0191832925366432,ENGENHARIAS,Engenharia Civil
0194007981724312,CIENCIAS_DA_SAUDE,Odontologia
0194073940200067,CIENCIAS_BIOLOGICAS,Fisiologia
0194528219787423,CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo
0194631586754988,CIENCIAS_BIOLOGICAS,Zoologia
0194745511728002,CIENCIAS_SOCIAIS_APLICADAS,Economia
0196056568721495,CIENCIAS_BIOLOGICAS,Parasitologia
0196503152950828,ENGENHARIAS,Engenharia Elétrica
0198257253890399,CIENCIAS_BIOLOGICAS,Imunologia
0198518668202406,CIENCIAS_AGRARIAS,Zootecnia
0199310715714042,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0199786420638506,CIENCIAS_DA_SAUDE,Medicina
0200709054904002,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0200938969199993,CIENCIAS_HUMANAS,Teologia
0201145506453251,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0201361251312074,CIENCIAS_BIOLOGICAS,Fisiologia
0201430845426807,CIENCIAS_BIOLOGICAS,Biofísica
0201883600417969,CIENCIAS_HUMANAS,Antropologia
0202215328828014,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0202627724737454,CIENCIAS_HUMANAS,Educação
0203148511472345,CIENCIAS_AGRARIAS,Agronomia
0203395024425799,CIENCIAS_DA_SAUDE,Enfermagem
0203545749226007,ENGENHARIAS,Engenharia de Produção
0203667980247686,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0203967709311323,CIENCIAS_HUMANAS,Psicologia
0204151320806316,,
0204571709680830,CIENCIAS_BIOLOGICAS,Farmacologia
0204772340851287,CIENCIAS_BIOLOGICAS,Ecologia
0204977512052749,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0205484470667278,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0206046924731363,CIENCIAS_EXATAS_E_DA_TERRA,Astronomia
0206233750299857,ENGENHARIAS,Engenharia de Produção
0207157049820845,CIENCIAS_SOCIAIS_APLICADAS,Economia
0208481199560436,CIENCIAS_EXATAS_E_DA_TERRA,Física
0209004922034029,OUTROS,Ciências Ambientais
0209794264314643,CIENCIAS_HUMANAS,História
0210093975299031,ENGENHARIAS,Engenharia Elétrica
0211989117783560,CIENCIAS_BIOLOGICAS,Ecologia
0212277538092835,LINGUISTICA_LETRAS_E_ARTES,Letras
0213450385240546,CIENCIAS_AGRARIAS,Agronomia
0216229039021964,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0217197776228801,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0217730025993961,CIENCIAS_BIOLOGICAS,Parasitologia
0218004426204544,CIENCIAS_BIOLOGICAS,Microbiologia
0218728166254422,CIENCIAS_DA_SAUDE,Medicina
0220141208589293,LINGUISTICA_LETRAS_E_ARTES,Artes
0221220703324031,CIENCIAS_EXATAS_E_DA_TERRA,Química
0221290226075451,CIENCIAS_HUMANAS,História
0221968239264826,CIENCIAS_DA_SAUDE,Medicina
0222348482922077,CIENCIAS_DA_SAUDE,Medicina
0223274024436216,CIENCIAS_BIOLOGICAS,Farmacologia
0223997495223283,CIENCIAS_EXATAS_E_DA_TERRA,Física
0224522010734716,CIENCIAS_DA_SAUDE,Odontologia
0224643692268532,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0225181120381785,ENGENHARIAS,Engenharia Mecânica
0225515825120934,CIENCIAS_SOCIAIS_APLICADAS,Direito
0225560551183999,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0225820714197455,CIENCIAS_HUMANAS,Sociologia
0226526134229057,CIENCIAS_DA_SAUDE,Saúde Coletiva
0226659493503879,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0227304533127933,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0229235513357607,CIENCIAS_AGRARIAS,Recursos Pesqueiros e Engenharia de Pesca
0229590907405570,CIENCIAS_BIOLOGICAS,Fisiologia
0229801641242896,CIENCIAS_SOCIAIS_APLICADAS,Ciência da Informação
0229983783255719,CIENCIAS_SOCIAIS_APLICADAS,Planejamento Urbano e Regional
0230773470450062,CIENCIAS_DA_SAUDE,Medicina
0232738544349053,CIENCIAS_DA_SAUDE,Odontologia
0232988306987805,,
0232995533976144,ENGENHARIAS,Engenharia de Minas
0233514913817700,CIENCIAS_AGRARIAS,Engenharia Agrícola
0233665338105542,CIENCIAS_EXATAS_E_DA_TERRA,Física
0233728865094243,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
0233820096700167,,
0234023827856266,CIENCIAS_HUMANAS,Ciência Política
0234053003461212,CIENCIAS_BIOLOGICAS,Botânica
0234920940703210,CIENCIAS_EXATAS_E_DA_TERRA,Química
0234977100867589,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0236414676280650,CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos
0236421856397794,CIENCIAS_SOCIAIS_APLICADAS,Administração
0236607123089481,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0237905234427383,CIENCIAS_EXATAS_E_DA_TERRA,Física
0239325360095146,ENGENHARIAS,Engenharia de Produção
0239752189917951,CIENCIAS_EXATAS_E_DA_TERRA,Química
0241056171343649,CIENCIAS_DA_SAUDE,Medicina
0241177338066307,CIENCIAS_EXATAS_E_DA_TERRA,Física
0242034365085727,CIENCIAS_BIOLOGICAS,Genética
0242276159685380,CIENCIAS_DA_SAUDE,Medicina
0243728836855726,CIENCIAS_DA_SAUDE,Fisioterapia e Terapia Ocupacional
0243906744273591,CIENCIAS_BIOLOGICAS,Fisiologia
0244103788687530,CIENCIAS_BIOLOGICAS,Zoologia
0244287001731375,CIENCIAS_HUMANAS,Educação
0245267028273903,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0245964878412260,CIENCIAS_BIOLOGICAS,Fisiologia
0246627334162343,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0247448637517208,CIENCIAS_AGRARIAS,Agronomia
0247990329725342,CIENCIAS_BIOLOGICAS,Bioquímica
0249501011078363,CIENCIAS_BIOLOGICAS,Zoologia
0250052255460941,ENGENHARIAS,Engenharia Elétrica
0250066159980825,ENGENHARIAS,Engenharia Biomédica
0250625483575345,CIENCIAS_HUMANAS,Psicologia
0251361943436465,CIENCIAS_BIOLOGICAS,Biofísica
0251927939615742,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0252438295481654,CIENCIAS_BIOLOGICAS,Botânica
0253528642320831,ENGENHARIAS,Engenharia Elétrica
0253635901049492,CIENCIAS_AGRARIAS,Zootecnia
0253893659766034,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0254085595142341,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0255848252162200,,
0256022401599645,CIENCIAS_EXATAS_E_DA_TERRA,Química
0256403741529064,CIENCIAS_DA_SAUDE,Medicina
0257540968113535,CIENCIAS_HUMANAS,Sociologia
0257647191736200,CIENCIAS_BIOLOGICAS,Fisiologia
0257744922714589,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0259711516659029,CIENCIAS_DA_SAUDE,Enfermagem
0261125208602999,CIENCIAS_BIOLOGICAS,Bioquímica
0261381672145053,CIENCIAS_EXATAS_E_DA_TERRA,Física
0261838076132788,ENGENHARIAS,Engenharia Elétrica
0261885352003041,ENGENHARIAS,Engenharia Elétrica
0263456536361820,LINGUISTICA_LETRAS_E_ARTES,Artes
0263742679377591,CIENCIAS_EXATAS_E_DA_TERRA,Astronomia
0264232179982467,CIENCIAS_BIOLOGICAS,Bioquímica
0265690889456064,CIENCIAS_HUMANAS,Psicologia
0266393899111143,CIENCIAS_EXATAS_E_DA_TERRA,Física
0267562971837526,CIENCIAS_AGRARIAS,Agronomia
0268414770907216,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
0270661833822671,ENGENHARIAS,Engenharia Elétrica
0271206558713652,CIENCIAS_BIOLOGICAS,Bioquímica
0271249291940695,CIENCIAS_EXATAS_E_DA_TERRA,Química
0271842903270328,CIENCIAS_BIOLOGICAS,Parasitologia
0272640518459010,CIENCIAS_SOCIAIS_APLICADAS,Administração
0272708416971499,CIENCIAS_AGRARIAS,Agronomia
0273238836877709,CIENCIAS_DA_SAUDE,Nutrição
0273416390435225,CIENCIAS_HUMANAS,Educação
0273671687486902,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0274040885278760,CIENCIAS_BIOLOGICAS,Ecologia
0274178372961922,ENGENHARIAS,Engenharia Sanitária
0274925425809454,CIENCIAS_BIOLOGICAS,Imunologia
0274983743933060,CIENCIAS_BIOLOGICAS,Fisiologia
0275270162023007,CIENCIAS_DA_SAUDE,Farmácia
0275740306913308,CIENCIAS_DA_SAUDE,Medicina
0276331080418074,CIENCIAS_DA_SAUDE,Odontologia
0276583403489241,ENGENHARIAS,Engenharia Biomédica
0277415539607307,CIENCIAS_AGRARIAS,Agronomia
0278054122091940,CIENCIAS_EXATAS_E_DA_TERRA,Química
0278717765065500,CIENCIAS_BIOLOGICAS,Bioquímica
0278798777870344,CIENCIAS_BIOLOGICAS,Microbiologia
0280057480652087,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0280121582234738,CIENCIAS_EXATAS_E_DA_TERRA,Química
0280185846111265,CIENCIAS_AGRARIAS,Recursos Pesqueiros e Engenharia de Pesca
0281887201020197,CIENCIAS_DA_SAUDE,Saúde Coletiva
0281994445322694,CIENCIAS_AGRARIAS,Agronomia
0282590467459210,CIENCIAS_EXATAS_E_DA_TERRA,Física
0283817427921969,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0284791309350193,CIENCIAS_EXATAS_E_DA_TERRA,Física
0286666531410312,CIENCIAS_SOCIAIS_APLICADAS,Economia
0286912374670025,CIENCIAS_HUMANAS,Arqueologia
0287319108203303,CIENCIAS_AGRARIAS,Agronomia
0287848411905739,CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo
0288146552740769,,
0288522400109962,CIENCIAS_SOCIAIS_APLICADAS,Economia
0288820412130500,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0289495208554953,CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos
0292346083994904,CIENCIAS_DA_SAUDE,Medicina
0292808701672231,CIENCIAS_BIOLOGICAS,Bioquímica
