Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0068554244216474,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal De Viçosa,1996,2001,nan,nan,nan,nan,Ciência Florestal,Universidade Federal De Viçosa,2001,2003,Engenharia Florestal,Universidade Federal De Lavras,2003,2007
0072954652250238,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas Biologia Marinha,Universidade Federal Do Rio De Janeiro,1983,1987,nan,nan,nan,nan,Ciências (fisiologia Geral),Universidade De São Paulo,1987,1991,Fisiologia,Cornell University,1991,1996
0081210618221925,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal Do Paraná,1992,1996,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal Do Paraná,1997,1999,Engenharia Florestal,Universidade Federal Do Paraná,2001,2005
0084980191573168,nan,nan,nan,nan,nan,nan,nan,nan, De Odontologia,Universidade Federal Fluminense,1986,1990,nan,nan,nan,nan,Odontologia (materiais Dentários),Universidade De São Paulo,1995,1998,Odontologia (dentística),Universidade De São Paulo,1998,2002
0091501164531871,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal Do Paraná,1990,1993,nan,nan,nan,nan,Ciências Biológicas (entomologia),Universidade Federal Do Paraná,1994,1996,Ciências Biológicas (entomologia),Universidade Federal Do Paraná,1997,2000
0095031067497364,nan,nan,nan,nan,nan,nan,nan,nan,Economia,Universidade Federal Do Rio De Janeiro,1969,1972,nan,nan,nan,nan,Administração,Universidade Federal Do Rio De Janeiro,1974,1976,Dirección De Empresas,"Iese Business School, Universidad De Navarra",1978,1982
0097683734501706,nan,nan,nan,nan,nan,nan,nan,nan,Antropologia,Escuela Nacional De Antropologia E História,1959,1963,nan,nan,nan,nan,Antropologia Social,Escuela Nacional De Antropologia E História,1964,1969,Sociologia Rural,Cornell University,1973,1989
0099860141022736,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Sociais,Universidade De Brasília,1994,1998,nan,nan,nan,nan,Antropologia,Universidade De Brasília,1999,2001,Antropologia,Universidade De Brasília,2001,2005
0102666260390526,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia Bioquímica,Universidade Estadual De Maringá,1985,1989,nan,nan,nan,nan,nan,nan,nan,nan,Ciências (microbiologia),Universidade Federal Do Rio De Janeiro,1993,1995
0104906936908227,nan,nan,nan,nan,nan,nan,nan,nan,História,Universidade Federal Do Rio De Janeiro,1987,1990,nan,nan,nan,nan,História Social,Universidade Federal Do Rio De Janeiro,1991,1993,História Econômica,Universidade De São Paulo,1997,2000
0107279453428385,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia,Universidade Federal Do Ceará,1977,1980,nan,nan,nan,nan,Química,Universidade Federal Do Ceará,1982,1986,Química,Universidade Estadual De Campinas,1992,1997
,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade De São Paulo,1973,1976,nan,nan,nan,nan,Fitotecnia (produção Vegetal),Universidade Federal De Viçosa,1980,1982,Fitotecnia,"Escola Superior De Agricultura ""luiz De Queiroz""",1987,1990
0112036159794570,nan,nan,nan,nan,nan,nan,nan,nan,Enfermagem,Universidade Federal De Goiás,2004,2008,nan,nan,nan,nan,Enfermagem,Universidade Federal De Goiás,2009,2011,Ciências Da Saúde,Universidade Federal De Goiás,2011,2014
0114608950477525,nan,nan,nan,nan,nan,nan,nan,nan,Física,Universidade Federal De Goiás,2004,2007,nan,nan,nan,nan,Programa De Pós-graduação Em Física - Universidade Federal De Goiás,Universidade Federal De Goiás,2008,2010,Física,Universidade Federal De Goiás,2010,2014
0116792663386170,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Química,Universidade Federal Do Rio Grande Do Sul,1996,2001,nan,nan,nan,nan,Engenharia Química,Universidade Federal Do Rio Grande Do Sul,2001,2003,Engenharia Química,Universidade Federal Do Rio Grande Do Sul,2004,2007
0124807800316091,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Sociais,Universidade Federal Do Rio Grande Do Sul,2002,2005,nan,nan,nan,nan,Antropologia Social,Universidade Estadual De Campinas,2006,2008,Antropologia Social,Universidade Federal Do Rio De Janeiro,2009,2014
0127419824935492,nan,nan,nan,nan,nan,nan,nan,nan,Licenciatura Plena Em Filosofia,Universidade Federal De Santa Maria,1980,1985,nan,nan,nan,nan,Filosofia,Universidade Federal Do Rio Grande Do Sul,1987,1992,Filosofia,Universidade Federal Do Rio Grande Do Sul,1992,1994
0128308087978829,nan,nan,nan,nan,nan,nan,nan,nan,Letras,Universidade Do Estado Do Rio De Janeiro,1966,1969,nan,nan,nan,nan,Lingüística,Universidade Estadual De Campinas,1973,1975,Lingüística,State University Of New York,1976,1980
0129423635403864,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Federal Do Rio Grande Do Sul,1985,1988,nan,nan,nan,nan,Structures Productives Et Système Mondial,Université Paris Diderot,1989,1991,Structures Productives Et Système Mondial,Université Paris Diderot,1991,1994
0134821761458628,nan,nan,nan,nan,nan,nan,nan,nan,Farmacia E Bioquimica,Faculdade De Farmácia,1974,1977,nan,nan,nan,nan,Ciências (microbiologia),Instituto De Microbiologia Prof. Paulo De Góes,1978,1981,Applied And Molecular Biology,University Of Manchester Institute Of Science And Technology,1985,1988
0138378882454566,nan,nan,nan,nan,nan,nan,nan,nan,Física,Pontifícia Universidade Católica De São Paulo,1980,1983,nan,nan,nan,nan,Física,Universidade De São Paulo,1984,1991,Engenharia Elétrica,Universidade De São Paulo,1995,1999
0141870030182207,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronômica,Universidade Federal Rural Do Rio De Janeiro,1974,1977,nan,nan,nan,nan,Agronomia (solos E Nutrição De Plantas),Universidade Federal De Viçosa,1985,1987,Agronomia (solos E Nutrição De Plantas),Universidade Federal De Viçosa,1991,1995
0151285357488920,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Química,Universidade Comunitária Regional De Chapecó,2000,2005,nan,nan,nan,nan,Engenharia De Alimentos,Universidade Integrada Do Alto Uruguai E Das Missões,2005,2007,Engenharia Química,Universidade Estadual De Maringá,2007,2009
0160328557166941,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Ambiental,Universidade Federal Do Paraná,2002,2006,nan,nan,nan,nan,Engenharia De Recursos Hídricos E Ambiental,Universidade Federal Do Paraná,2006,2008,Engenharia De Recursos Hídricos E Ambiental,Universidade Federal Do Paraná,2009,2013
0161747269063291,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal Do Rio Grande Do Sul,1973,1976,nan,nan,nan,nan,Fitotecnia,Universidade Federal Do Rio Grande Do Sul,1977,1979,Programa De Pós Ecologia E Recursos N,Universidade Federal De São Carlos,1989,1993
0162244851289477,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronômica,Universidade Federal De Viçosa,1972,1975,nan,nan,nan,nan,Engenharia Agrícola,Universidade Federal De Viçosa,1976,1979,Engenharia De Alimentos,Universidade Estadual De Campinas,1993,1997
0164966065084195,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elétrica,Universidad Del Valle,1976,1983,nan,nan,nan,nan,Ciências Da Computação,Universidade Federal De Minas Gerais,1987,1990,Engenharia Elétrica,Universidade De São Paulo,1991,1998
0170936565256270,nan,nan,nan,nan,nan,nan,nan,nan,Geologia,Universidade Federal Do Rio De Janeiro,1974,1977,nan,nan,nan,nan,Geologia,Universidade Federal Do Rio De Janeiro,1980,1982,Metalogênese,Université D'orléans,1986,1990
0171183220606416,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Química,Universidade Federal Do Rio De Janeiro,1971,1975,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Química,Universidade Federal Do Rio De Janeiro,1992,1995
0182863293347169,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elétrica Ênfase Em Eletrotécnica,Universidade Federal De Uberlândia,1994,1999,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal De Uberlândia,2000,2002,Engenharia Elétrica,Universidade Federal De Uberlândia,2002,2005
0186446294097309,nan,nan,nan,nan,nan,nan,nan,nan,Física - Licenciatura,Universidade Estadual Do Ceará,2002,2006,nan,nan,nan,nan,Ciências Físicas Aplicadas,Universidade Estadual Do Ceará,2006,2009,Engenharia Civil (recursos Hídricos),Universidade Federal Do Ceará,2010,2014
0187547195548392,nan,nan,nan,nan,nan,nan,nan,nan,Física,Universidade Federal De Goiás,1977,1981,nan,nan,nan,nan,Ceramics Science And Engineering,The State University Of New Jersey - New Brunswick,1989,1992,Physics Of Materials,University Of Oxford,1993,1996
0187857348523672,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal Rural De Pernambuco,1976,1979,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal Do Paraná,1983,1985,Engenharia Florestal,Universidade Federal Do Paraná,1991,1995
0189644589413057,nan,nan,nan,nan,nan,nan,nan,nan,Administração,Universidade Federal De Minas Gerais,1988,1992,nan,nan,nan,nan,Administração,Universidade Federal De Minas Gerais,1996,1999,Administração,Universidade Federal De Minas Gerais,2003,2007
0190530879188803,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal De Viçosa,1984,1988,nan,nan,nan,nan,Genética E Melhoramento,Universidade Federal De Viçosa,1990,1992,Produção Vegetal,Universidade Estadual Do Norte Fluminense Darcy Ribeiro,2000,2003
0194631586754988,nan,nan,nan,nan,nan,nan,nan,nan,Oceanografia,Universidade Do Vale Do Itajaí,1992,1997,nan,nan,nan,nan,nan,nan,nan,nan,Zoologia (conceito Capes 6),Pontifícia Universidade Católica Do Rio Grande Do Sul,2002,2007
0194745511728002,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade De Fortaleza,1997,2002,nan,nan,nan,nan,Economia,Universidade Federal Da Paraíba,2004,2006,Economia,Universidade Federal De Pernambuco,2006,2010
0198518668202406,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronômica,Universidade Federal Do Ceará,1983,1988,nan,nan,nan,nan,Zootecnia,Universidade Federal Do Ceará,1989,1991,Abelhas E Polinização,University Of Wales College Of Cardiff,1991,1995
0199786420638506,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia Bioquímica,Universidade Federal Da Bahia,1975,1980,nan,nan,nan,nan,nan,nan,nan,nan,Imunologia,Universidade Federal Da Bahia,1998,2000
0201883600417969,nan,nan,nan,nan,nan,nan,nan,nan,História,Universidade Federal Fluminense,1976,1979,nan,nan,nan,nan,Antropologia Social,Universidade Federal Do Rio De Janeiro,1980,1985,Antropologia Social,Universidade Federal Do Rio De Janeiro,1986,1992
0202215328828014,nan,nan,nan,nan,nan,nan,nan,nan,Comunicação Social,Universidade Católica De Santos,1981,1984,nan,nan,nan,nan,Ciências Da Comunicação,Universidade De São Paulo,1987,1992,Ciências Da Comunicação,Universidade De São Paulo,1994,1999
