Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
2794753357251149,nan,nan,nan,nan,,Escola Técnica Federal Do Ceará,1990,1993,Medicina Veterinária,Universidade Estadual Do Ceará,1993,1999,nan,nan,nan,nan,Ciências Veterinárias,Universidade Estadual Do Ceará,2000,2001,Produção Animal,Universidade Estadual Do Norte Fluminense Darcy Ribeiro,2001,2005
2802663347194050,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Pontifícia Universidade Católica Do Rio Grande Do Sul,1980,1984,nan,nan,nan,nan,Genética E Biologia Molecular,Universidade Federal Do Rio Grande Do Sul,1985,1989,Genética E Biologia Molecular,Universidade Federal Do Rio Grande Do Sul,1993,1997
2807884379340559,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Estadual De Ponta Grossa,2000,2003,nan,nan,nan,nan,Desenvolvimento Regional E Agronegócio,Universidade Estadual Do Oeste Do Paraná,2005,2007,Economia,Universidade Federal Do Rio Grande Do Sul,2007,2010
2828124381670231,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Da Computação,Universidade Federal De Santa Catarina,1985,1989,nan,nan,nan,nan,nan,nan,nan,nan,Doutorado Acadêmico Em Informática,Universitaet Kaiserslautern,1992,1996
2834405436222065,nan,nan,nan,nan,nan,nan,nan,nan,Química Industrial,Universidade Federal De Santa Maria,1978,1982,nan,nan,nan,nan,Ciência E Tecnologia De Alimentos,Universidade Federal De Viçosa,1985,1987,Food And Nutritional Science,University Of Manitoba,1993,1997
2835093153489923,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia,Universidade Federal Da Paraíba,1990,1995,nan,nan,nan,nan,Produtos Naturais E Sintéticos Bioativos,Universidade Federal Da Paraíba,1996,1998,Química,Universidade Federal Rural Do Rio De Janeiro,1998,2002
2835610496598824,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Civil,Universidade De Pernambuco,1990,1994,nan,nan,nan,nan,Engenharia,Universidade Federal Do Rio Grande Do Sul,1995,1997,Engenharia Civil,Universidade Federal Do Rio Grande Do Sul,1998,2001
2839547928353699,nan,nan,nan,nan,Agropecuária,Colégio Agrícola Vidal De Negreiros,1999,2001,Engenharia Agrícola,Universidade Federal De Campina Grande,2004,2009,nan,nan,nan,nan,Engenharia Agrícola,Universidade Federal De Campina Grande,2009,2010,Engenharia Agrícola,Universidade Federal De Campina Grande,2010,2013
2845950448235863,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Computação,Instituto Tecnológico De Aeronáutica,1994,1998,nan,nan,nan,nan,Ciências Da Computação,Universidade Federal Do Ceará,1999,2000,Ciencia Da Computacao,Universidade De São Paulo,2003,2008
2851798514812201,nan,nan,nan,nan,nan,nan,nan,nan,Aagronomia,Universidade Federal Da Bahia,1982,1986,nan,nan,nan,nan,nan,nan,nan,nan,Fitopatologia Florestal,University Of Florida,1995,1999
2874231166541071,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal De Lavras,2001,2006,nan,nan,nan,nan,Ciência E Tecnologia Da Madeira,Universidade Federal De Lavras,2006,2008,Phd In Mechanical And Civil Engineering,Université Montpellier 2,2008,2011
2875667291793150,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Estadual De Londrina,2002,2006,nan,nan,nan,nan,Agronomia,Universidade Estadual De Londrina,2007,2009,Agronomia,Universidade Estadual De Maringá,2009,2012
2877723849593769,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Estadual Paulista Júlio De Mesquita Filho,1991,1994,nan,nan,nan,nan,Ciências Biológicas (biologia Vegetal),Universidade Estadual Paulista Júlio De Mesquita Filho,1995,1997,Biologia Vegetal,Universidade Estadual De Campinas,1997,2002
2878770983264825,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Química,Universidade Federal Do Rio De Janeiro,1974,1978,nan,nan,nan,nan,Engenharia De Processos Quimicos E Bioquimicos,Universidade Federal Do Rio De Janeiro,1979,1981,Ciências (microbiologia),Universidade Federal Do Rio De Janeiro,1985,1990
2881327424473359,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal Do Rio De Janeiro,2000,2003,nan,nan,nan,nan,Zoologia,Museu Nacional - Universidade Federal Do Rio De Janeiro,2004,2006,Zoologia,Museu Nacional - Universidade Federal Do Rio De Janeiro,2006,2010
2882351954633616,nan,nan,nan,nan,nan,nan,nan,nan,Medicina Veterinária,Universidade Federal Da Paraíba,1990,1995,nan,nan,nan,nan,Medicina Veterinária,Universidade Federal De Santa Maria,1995,1996,Ciência Veterinária,Universidade Federal Rural De Pernambuco,2006,2009
2885145995086459,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal Do Rio Grande Do Norte,1981,1984,nan,nan,nan,nan,Bioquímica E Fisiologia,Universidade Federal De Pernambuco,1986,1990,Ciências Biológicas (biologia Molecular),Universidade Federal De São Paulo,1994,1998
2893737202813850,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Metalúrgica,Universidade Presbiteriana Mackenzie,1978,1982,nan,nan,nan,nan,Tecnologia Nuclear,Universidade De São Paulo,1986,1989,Tecnologia Nuclear,Universidade De São Paulo,1991,1997
2903750902988624,nan,nan,nan,nan,Eletrônica,Escola Técnica Prof Everardo Passos,1983,1986,Engenharia Elétrica,Escola De Engenharia De São Carlos - Usp,1989,1993,nan,nan,nan,nan,Engenharia Elétrica,Universidade De São Paulo,1994,1998,Engenharia Elétrica,Universidade De São Paulo,2002,2006
2908589410457132,nan,nan,nan,nan,nan,nan,nan,nan,Física,Universidade Do Estado Do Rio De Janeiro,1980,1981,nan,nan,nan,nan,Engenharia Nuclear,Universidade Federal Do Rio De Janeiro,1982,1985,Engenharia Nuclear,University Of Michigan,1986,1990
2910985913890585,nan,nan,nan,nan,nan,nan,nan,nan,Arquitetura E Urbanismo,Universidade Presbiteriana Mackenzie,1992,1997,nan,nan,nan,nan,Arquitetura E Urbanismo,Universidade De São Paulo,2001,2004,Arquitetura E Urbanismo,Universidade De São Paulo,2005,2009
2913435225413486,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal Da Paraíba,1968,1971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2915446717051640,nan,nan,nan,nan,nan,nan,nan,nan,Faculdade De Ciências Biológicas,Universidade Federal Do Rio Grande Do Sul,1994,1998,nan,nan,nan,nan,Biologia Celular E Molecular,Universidade Federal Do Rio Grande Do Sul,1998,2000,Biologia Celular E Molecular,Universidade Federal Do Rio Grande Do Sul,2000,2005
2920848355110000,nan,nan,nan,nan,nan,nan,nan,nan,Física,Instituto De Física,1976,1979,nan,nan,nan,nan,Física,Instituto De Física,1980,1983,Física,Universidade De São Paulo,1987,1993
2925901155504075,nan,nan,nan,nan,,Formação De Professores Instituto De Educação Do Rio De Janeiro,1970,1972,Português-literaturas,Universidade Do Estado Do Rio De Janeiro,1973,1976,nan,nan,nan,nan,Literatura Brasileira,Universidade Do Estado Do Rio De Janeiro,1988,1992,Literatura Comparada,Universidade Do Estado Do Rio De Janeiro,1993,1999
2929963416385218,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia,Universidade Federal Do Rio Grande Do Norte,1995,1999,nan,nan,nan,nan,nan,nan,nan,nan,Biotecnologia,Universidade De São Paulo,2000,2005
2933541593062202,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Federal De Juiz De Fora,1999,2003,nan,nan,nan,nan,Desenvolvimento Econômico,Universidade Federal Do Paraná,2004,2006,Desenvolvimento Econômico,Universidade Federal Do Paraná,2007,2011
2939474349090188,nan,nan,nan,nan,nan,nan,nan,nan,História,Universidade Federal Fluminense,1985,1992,nan,nan,nan,nan,Antropologia Social,Universidade Federal Do Rio De Janeiro,1992,1995,Antropologia Social,Universidade Federal Do Rio De Janeiro,1997,2002
2942067436390618,nan,nan,nan,nan,nan,nan,nan,nan,Economia,Universidade Da Costa Rica,1968,1973,nan,nan,nan,nan,Economia,Universidade Federal De Pernambuco,1975,1978,Economia,Universidade De São Paulo,1978,1983
2942478614198351,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal Do Paraná,1992,1997,nan,nan,nan,nan,Bioresources And Product Science,Hokkaido University,1998,2000,Bioresources And Product Science,Hokkaido University,2000,2004
2944428818449047,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronômica,Universidade Federal Rural De Pernambuco,1963,1966,nan,nan,nan,nan,Bioquímica E Fisiologia,Universidade Federal De Pernambuco,1972,1976,Bioquimica,University Of London,1978,1982
2948615474163356,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal De Minas Gerais,1999,2003,nan,nan,nan,nan,Biologia Vegetal,Universidade Federal De Minas Gerais,2004,2005,Biologia Vegetal,Universidade Federal De Minas Gerais,2005,2009
2954830416817871,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Materiais,Universidade Federal De São Carlos,1994,1998,nan,nan,nan,nan,Tecnologia Nuclear-materiais,Instituto De Pesquisas Energéticas E Nucleares,1999,2002,Tecnologia Nuclear - Materiais,Instituto De Pesquisas Energéticas E Nucleares,2002,2006
2964648987132678,nan,nan,nan,nan,nan,nan,nan,nan,Medicina,Universidad Nacional De La Plata,1970,1976,nan,nan,nan,nan,nan,nan,nan,nan,Medicina,Universidad Nacional De La Plata,1979,1981
2964979009631467,nan,nan,nan,nan,nan,nan,nan,nan,Relações Internacionais,Pontifícia Universidade Católica De Minas Gerais,1999,2003,nan,nan,nan,nan,Antropologia Social,Universidade Federal Do Rio De Janeiro,2005,2007,Antropologia Social,Universidade Federal Do Rio De Janeiro,2007,2011
2969689646961586,nan,nan,nan,nan,nan,nan,nan,nan,Química,Universidade Federal Do Ceará,1984,1987,nan,nan,nan,nan,Ciências,Universidade De São Paulo,1988,1991,Físico-química,Universidade De São Paulo,1991,1996
2974805638656106,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Nuclear,Universidade Federal Do Rio De Janeiro,1977,1981,nan,nan,nan,nan,nan,nan,nan,nan,Mechanical & Aerospace Engineering,North Carolina State University,1982,1985
2975606575001382,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Mecânica,Universidade Federal De Itajubá,1989,1993,nan,nan,nan,nan,Engenharia Mecânica,Universidade Federal De Itajubá,1994,1996,Engenharia Mecânica,Universidade Federal De Itajubá,1997,2001
2980425786626151,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Civil,Universidad Nacional De Córdoba,1965,1969,nan,nan,nan,nan,Engenharia Civil,Instituto Alberto Luiz Coimbra De Pós Graduação E Pesquisa De Engenharia,1970,1973,Engenharia Mecânica,Instituto Alberto Luiz Coimbra De Pós Graduação E Pesquisa De Engenharia,1973,1975
2988548512574129,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal Rural Do Rio De Janeiro,1999,2004,nan,nan,nan,nan,Ciência Florestal,Universidade Federal De Viçosa,2004,2006,Ciência Florestal,Universidade Federal De Viçosa,2006,2010
2993173987424895,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Mecânica,Universidade Federal De Uberlândia,1995,2000,nan,nan,nan,nan,Engenharia Mecânica,Universidade Federal De Uberlândia,2000,2002,Engenharia Mecânica,Universidade Federal De Uberlândia,2003,2007
3006526142468362,nan,nan,nan,nan,nan,nan,nan,nan,Química Industrial,Universidade Federal De Santa Maria,1990,1995,nan,nan,nan,nan,Química,Universidade Federal De Santa Maria,1996,1998,Química,Universidade Federal Do Rio Grande Do Sul,1998,2002
3008972872111623,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal Do Espírito Santo,1998,2002,nan,nan,nan,nan,Fitotecnia (produção Vegetal),Universidade Federal De Viçosa,2003,2004,Fitotecnia (produção Vegetal),Universidade Federal De Viçosa,2004,2007
3030543036752083,nan,nan,nan,nan,nan,nan,nan,nan,Medicina Veterinária,Universidade Do Estado De Santa Catarina,2000,2004,nan,nan,nan,nan,Patologia Experimental E Comparada,Universidade De São Paulo,2005,2007,Programa De Pós-graduação Em Ciências Veterinárias,Universidade Federal Do Rio Grande Do Sul,2011,2013
3035017013212273,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal De Minas Gerais,1991,1995,nan,nan,nan,nan,Ecologia (conservação E Manejo Da Vida Silvestre),Universidade Federal De Minas Gerais,1996,1998,Ecologia (conservação E Manejo Da Vida Silvestre),Universidade Federal De Minas Gerais,1999,2004
3037537412243787,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Industrial Metalúrgica,Universidade Federal Fluminense,1973,1977,nan,nan,nan,nan,Engenharia Metalúrgica E De Materiais,Universidade Federal Do Rio De Janeiro,1978,1980,Engenharia Mecânica,Rwtha Aachen University,1982,1988
3039810881707324,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Produção,Pontifícia Universidade Católica Do Rio De Janeiro,2005,2011,nan,nan,nan,nan,Engenharia Elétrica,Pontifícia Universidade Católica Do Rio De Janeiro,2012,2014,Engenharia Elétrica,Pontifícia Universidade Católica Do Rio De Janeiro,2014,2017
3048153332110327,nan,nan,nan,nan,nan,nan,nan,nan,Matematica Aplicada E Computacional,Universidade Estadual De Campinas,1993,1997,nan,nan,nan,nan,Matemática Aplicada,Universidade Estadual De Campinas,1997,1998,Matematica Aplicada,University Of Colorado At Denver,1998,2002
3048287060208404,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal Do Paraná,1993,1998,nan,nan,nan,nan,Ciência Animal E Pastagens,Universidade De São Paulo,1998,2000,Ciência Animal E Pastagens,Universidade De São Paulo,2000,2004
3059640410928425,nan,nan,nan,nan,nan,nan,nan,nan,Ciência Da Computação,Universidade Federal Do Rio Grande Do Sul,1992,1995,nan,nan,nan,nan,Ciência Da Computação,Universidade Federal Do Rio Grande Do Sul,1996,1998,Ciência Da Computação,Universidade Federal Do Rio Grande Do Sul,1998,2002
3066270632900420,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronomica,Universidade Estadual Paulista Júlio De Mesquita Filho,2007,2011,nan,nan,nan,nan,Fitotecnia,Universidade De São Paulo,2012,2014,Produção Vegetal (6),Unesp - Universidade Estadual Paulista - Câmpus De Jaboticabal,2014,2017
3082597438365146,nan,nan,nan,nan,nan,nan,nan,nan,Estudos Sociais,Universidade Federal Rural De Pernambuco,1988,1992,nan,nan,nan,nan,Educação,Universidade Federal De Pernambuco,1999,2001,Educação,Universidade Federal De Pernambuco,2004,2008
3086288257972856,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Sociais,Universidade Federal Do Rio De Janeiro,1982,1987,nan,nan,nan,nan,Ciência Política (ciência Política E Sociologia),Instituto Universitário De Pesquisas Do Rio De Janeiro,1988,1991,Ciência Política,University Of California San Diego,1992,1998
3087677954298076,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Civil,Universidade Federal Do Paraná,1972,1976,nan,nan,nan,nan,Hidráulica E Saneamento - Engenharia Civil,Escola De Engenharia De São Carlos Universidade De São Paulo,1979,1982,Tecnologia Ambiental E Ciências Da Agricultura,Wageningen Agricultural University,1989,1994
3088318037496321,nan,nan,nan,nan,nan,nan,nan,nan,Filosofia,Universidade Federal Do Rio Grande Do Sul,1985,1988,nan,nan,nan,nan,Antropologia Social,Universidade Federal Do Rio Grande Do Sul,1989,1992,Ciência Social (antropologia Social),Universidade De São Paulo,1995,2000
3089852482406270,nan,nan,nan,nan,nan,nan,nan,nan,Psicologia,Pontifícia Universidade Católica Do Rio De Janeiro,1969,1973,nan,nan,nan,nan,Psicologia (psicologia Clínica),Pontifícia Universidade Católica Do Rio De Janeiro,1973,1975,Sociologia Da Saúde Mental,University Of London,1979,1983
3095970241017527,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia Industrial,Universidade Federal Do Rio Grande Do Sul,2003,2005,nan,nan,nan,nan,Ciências Farmacêuticas,Universidade Federal Do Rio Grande Do Sul,2003,2005,Ciências Farmacêuticas,Universidade Federal Do Rio Grande Do Sul,2005,2009
3098770687816213,nan,nan,nan,nan,nan,nan,nan,nan, De Material Bélico,Academia Militar Das Agulhas Negras (aman),1987,1990,nan,nan,nan,nan,Ciências Dos Materiais,Instituto Militar De Engenharia,1999,2000,Ciências Dos Materiais,Instituto Militar De Engenharia,2003,2006
3099010533644898,nan,nan,nan,nan,nan,nan,nan,nan,Engeharia Eletrica,Universidade Federal Do Espírito Santo,1997,2003,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Do Espírito Santo,2004,2006,Engenharia Elétrica,Universidade Federal Do Espírito Santo,2006,2011
3100796431732251,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade De São Paulo,1993,1997,nan,nan,nan,nan,Ciências Biológicas (genética),Universidade De São Paulo,1998,2000,Ciências Biológicas (genética),Universidade De São Paulo,2000,2004
3105720686893127,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Santa Úrsula,1990,1995,nan,nan,nan,nan,Zootecnia,Universidade Federal De Santa Maria,1996,1997,Biologia De Água Doce E Pesca Interior,Instituto Nacional De Pesquisas Da Amazônia,1998,2002
3110129398595336,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Alimentos,Universidade Estadual Do Centro-oeste,1998,2002,nan,nan,nan,nan,Tecnologia De Alimentos,Universidade Federal Do Paraná,2004,2005,Tecnologia De Alimentos,Universidade Federal Do Paraná,2005,2007
3110423356650397,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Industrial Eletrônica,Centro Federal De Educação Tecnológica Celso Suckow Da Fonseca,1979,1983,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Do Rio De Janeiro,1984,1988,Engenharia Elétrica,Universidade Federal Do Rio De Janeiro,1989,1995
3116215045206060,nan,nan,nan,nan,nan,nan,nan,nan,Zootecnia,Universidade Federal De Viçosa,2001,2005,nan,nan,nan,nan,Zootecnia,Universidade Estadual Paulista Júlio De Mesquita Filho,2005,2007,Zootecnia,Universidade Estadual Paulista Júlio De Mesquita Filho,2007,2010
3124118595692286,nan,nan,nan,nan,nan,nan,nan,nan,Medicina Veterinária,Universidade Federal Rural Do Rio De Janeiro,1993,1998,Homeopatia,Instituto Hahnemmaniano Brasileiro,1999,,Neurociências,Universidade Federal De Santa Catarina,1999,2001,Neurologia,Universidade De São Paulo,2003,2007
3125669481610550,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal De Alagoas,1981,1985,nan,nan,nan,nan,Genética E Melhoramento,Universidade Federal De Viçosa,1987,1990,Genética E Melhoramento,Universidade Federal De Viçosa,1990,1994
3126832317253330,nan,nan,nan,nan,nan,nan,nan,nan,Educação Física,Universidade Estadual Paulista Júlio De Mesquita Filho,1994,1997,nan,nan,nan,nan,Educação Física,Universidade Gama Filho,1998,2000,Educação Física,Universidade Gama Filho,2000,2003
3128499030641448,nan,nan,nan,nan,nan,nan,nan,nan,Física,Universidade Federal Do Pará,2003,2007,nan,nan,nan,nan,Física,Universidade Federal Do Pará,2007,2009,Nanociências E Materiais Avançados,Universidade Federal Do Abc,2009,2014
3138101153535395,nan,nan,nan,nan,nan,nan,nan,nan,Arquitetura E Urbanismo,Universidade Federal Do Pará,1986,1990,nan,nan,nan,nan,Planejamento Urbano,Universidade De Brasília,1991,1994,Arquitetura,Oxford Brookes University,1999,2002
3139536479960191,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elètrica,Moscow State Technical University Named After Bauman,1965,1969,nan,nan,nan,nan,Sistemas De Alta Potencia,Moscow State Technical University Named After Bauman,1969,1971,Dispositivos De Microondas,Moscow State Technical University Named After Bauman,1973,1976
3141068978315035,nan,nan,nan,nan,Edificações,"Instituto Federal De Educação, Ciência E Tecnologia Da Paraíba - Ifpb",1989,1992,Quimica Industrial,Universidade Federal Da Paraíba,1993,1998,nan,nan,nan,nan,Química,Centro De Ciências Exatas E Da Natureza - Campus I,1998,2000,Química,Universidade Federal Da Paraíba,2000,2004
3142563813587060,nan,nan,nan,nan,,Escola Técnica Estadual João B. L. Figueiredo - Técnico Em Eletrotécnica,1997,1999,Engenharia Agrícola,Universidade Federal De Lavras,2001,2006,nan,nan,nan,nan,Engenharia Agrícola,Universidade Federal De Lavras,2006,2008,Recursos Hídricos,Universidade Federal De Lavras,2008,2011
3143075206114801,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Estadual Paulista Júlio De Mesquita Filho,1991,1994,nan,nan,nan,nan,Desenvolvimento Econômico,Universidade Federal Do Paraná,1995,1997,Ciência Econômica,Universidade Estadual De Campinas,1997,2001
3148312031889388,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Da Região Da Campanha,1979,1983,nan,nan,nan,nan,Produção E Tecnologia De Sementes,Universidade Federal De Pelotas,1988,1991,Fitotecnia,Universidade Federal Do Rio Grande Do Sul,1993,1997
3150288038945608,nan,nan,nan,nan,nan,nan,nan,nan,Medicina Veterinária,Universidade Do Estado De Santa Catarina,1995,1999,nan,nan,nan,nan,Cirurgia Veterinária,Universidade Estadual Paulista Júlio De Mesquita Filho,2000,2001,Cirurgia Veterinária,Universidade Estadual Paulista Júlio De Mesquita Filho,2003,2005
3152041311943092,nan,nan,nan,nan,nan,nan,nan,nan,Quimica -bacharelado,Universidade Federal Da Bahia,1977,1980,nan,nan,nan,nan,Química,Universidade Estadual De Campinas,1983,1987,Química,Departamento De Química Orgânica,1993,1997
3155842037128407,nan,nan,nan,nan,nan,nan,nan,nan,Psicologia,Universidade Federal Do Rio Grande Do Sul,1978,1983,nan,nan,nan,nan,Filosofia,Universidade Federal Do Rio Grande Do Sul,1987,1996,Saúde Coletiva,Universidade Do Estado Do Rio De Janeiro,2003,2007
3159100435446896,nan,nan,nan,nan,nan,nan,nan,nan,Direito,Pontifícia Universidade Católica Do Rio De Janeiro,1985,1990,nan,nan,nan,nan,Teoria Do Estado E Direito Constitucional,Pontifícia Universidade Católica Do Rio De Janeiro,1992,1994,Teoria Do Estado E Direito Constitucional,Pontifícia Universidade Católica Do Rio De Janeiro,2002,2007
3162292964889276,nan,nan,nan,nan,nan,nan,nan,nan,Física,Universidade De São Paulo,1973,1976,nan,nan,nan,nan,"Ensino De Ciências (modalidades Física, Química E Biologia)",Universidade De São Paulo,1991,1994,Educação,Universidade De São Paulo,1997,2001
3167458244674160,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Minas,Universidade Federal Da Paraíba,1979,1984,nan,nan,nan,nan,Engenharia Química,Universidade Federal Da Paraíba,1986,1989,Engenharia De Processos,Universidade Federal De Campina Grande,1999,2002
3170421043879122,nan,nan,nan,nan,nan,nan,nan,nan,História Natural,Universidade Federal Do Rio Grande Do Sul,1967,1970,nan,nan,nan,nan,Botânica,Universidade Federal Do Rio Grande Do Sul,1971,1975,Zootecnia,Universidade Federal Do Rio Grande Do Sul,1989,1993
3180659616699939,nan,nan,nan,nan,nan,nan,nan,nan,Pedagogia,Universidade Estadual Do Rio Grande Do Sul,2002,2005,nan,nan,nan,nan,Educação,Universidade Do Vale Do Rio Dos Sinos,2007,2008,Educação,Universidade Do Vale Do Rio Dos Sinos,2009,2011
3183635792396746,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Alimentos,Universidade Federal De Santa Catarina,1982,1987,nan,nan,nan,nan,Engenharia De Alimentos,Universidade Estadual De Campinas,1988,1991,Engenharia De Alimentos,Universidade Estadual De Campinas,1992,1996
3183895586263436,nan,nan,nan,nan,,Escola Técnica Federal Do Ceará,1987,1990,Farmácia,Universidade Federal Do Ceará,1991,1995,nan,nan,nan,nan,Bioquímica,Universidade Federal Do Ceará,1996,1998,Bioquímica,Universidade Federal Do Ceará,1998,2002
,nan,nan,nan,nan,nan,nan,nan,nan,Geologia,Universidade Federal Do Rio Grande Do Sul,1960,1964,nan,nan,nan,nan,nan,nan,nan,nan,Geologia,Albert-ludwigs-universität Freiburg,1989,1993
3190630564956043,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Eletronica,Universidade De Pernambuco,1976,1980,nan,nan,nan,nan,Engenharia De Produção,Universidade Federal De Pernambuco,1982,1985,Management Engineering,The University Of Birmingham,1990,1994
3193402678222768,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal Do Rio De Janeiro,2002,2006,nan,nan,nan,nan,Zoologia,Programa De Pós Graduação Em Zoologia (museu Nacional/ufrj),2006,2008,Programa De Pós Zoologia,Universidade Federal Do Rio De Janeiro,2008,2012
3198350508846033,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,West Pakistan Agricultural University,1961,1968,nan,nan,nan,nan,Economia Agrícola,West Pakistan Agricultural University,1968,1970,Economia Agrícola E Recursos Naturais,Oregon State University,1973,1977
3200087893118776,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Mecanica,Faculdade De Engenharia De Guaratinguetá,1988,1992,nan,nan,nan,nan,Engenharia E Tecnologia Espaciais,Instituto Nacional De Pesquisas Espaciais,1993,1995,Engenharia Aeronâutica E Mecânica,Instituto Tecnológico De Aeronáutica,1995,2000
3203712465096936,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Mecânica,Escola De Engenharia De São José Dos Campos,1976,1980,nan,nan,nan,nan,nan,nan,nan,nan,Administração De Empresas,Université De Sciences Sociales De Grenoble,1988,1991
3208175361373924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Patologia Molecular,Universidade De Brasília,2006,2008,Biologia Animal,Universidade De Brasília,2008,2011
3215656538918242,nan,nan,nan,nan,nan,nan,nan,nan,Letras Português,Universidade De Brasília,2009,2012,nan,nan,nan,nan,Literatura,Universidade De Brasília,2013,2014,Literatura,Universidade De Brasília,2015,2017
3220111929133519,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Dos Materiais,Instituto Militar De Engenharia,1979,1981,nan,nan,nan,nan,Ciências Dos Materiais,Instituto Militar De Engenharia,1985,1986,Ciências Dos Materiais,Instituto Militar De Engenharia,1987,1989
3230640489615267,nan,nan,nan,nan,Química,Escola Técnica Federal Do Amazonas,1989,1992,Química,Universidade Federal Do Amazonas,1993,1997,nan,nan,nan,nan,Química,Universidade Federal Do Amazonas,1997,2000,Química Orgânica,Universidade Federal De São Carlos,2001,2005
3236946022189344,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Minas,Universidade Federal De Ouro Preto,1977,1981,nan,nan,nan,nan,Engenharia Metalúrgica E De Minas,Universidade Federal De Minas Gerais,1993,1996,Engenharia Metalúrgica E De Minas,Universidade Federal De Minas Gerais,2000,2004
3246339978224530,nan,nan,nan,nan,nan,nan,nan,nan,Matemática Física E Química,Andhra University,1958,1961,nan,nan,nan,nan,Meteorologia E Oceanografia,Andhra University,1962,1965,Meteorologia,Instituto Nacional De Pesquisas Espaciais,1977,1981
3250195451890332,nan,nan,nan,nan,nan,nan,nan,nan,Ffcl De Ribeirão Preto,Universidade De São Paulo,1975,1979,nan,nan,nan,nan,Educação Especial (educação Do Indivíduo Especial),Universidade Federal De São Carlos,1980,1984,Psicologia (psicologia Experimental),Universidade De São Paulo,1985,1990
