Identificador,Grande Área,Área
0383359382532310,CIENCIAS_HUMANAS,Antropologia
0383834501086115,CIENCIAS_EXATAS_E_DA_TERRA,Física
0384726674523131,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0388600397612432,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0392398629237265,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0400232298849115,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0406937598151848,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0410139532987770,CIENCIAS_BIOLOGICAS,Botânica
0411920276076528,CIENCIAS_AGRARIAS,Agronomia
0415198949492913,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
0415561263095335,CIENCIAS_BIOLOGICAS,Ecologia
0422967504080267,ENGENHARIAS,Engenharia Mecânica
0430275226558223,CIENCIAS_HUMANAS,Sociologia
0431688649128529,ENGENHARIAS,Engenharia Química
0441646892659099,CIENCIAS_SOCIAIS_APLICADAS,Administração
0446055905975647,CIENCIAS_AGRARIAS,Medicina Veterinária
0449078764189687,CIENCIAS_AGRARIAS,Agronomia
0455487141833418,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0457288721496478,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0464969547546706,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0479854777557016,CIENCIAS_BIOLOGICAS,Botânica
0494282486171725,ENGENHARIAS,Engenharia Elétrica
0503733087170121,CIENCIAS_BIOLOGICAS,Farmacologia
0505123426174183,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0507218392616237,CIENCIAS_BIOLOGICAS,Genética
0515333775813047,CIENCIAS_SOCIAIS_APLICADAS,Direito
0516950924338641,CIENCIAS_BIOLOGICAS,Morfologia
0517155355307078,CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos
0527166138295670,CIENCIAS_EXATAS_E_DA_TERRA,Física
0535860239259102,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0543546857869709,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0547272537840350,CIENCIAS_AGRARIAS,Recursos Pesqueiros e Engenharia de Pesca
0555523196295968,CIENCIAS_SOCIAIS_APLICADAS,Administração
0557976975338451,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0560039556461253,CIENCIAS_EXATAS_E_DA_TERRA,Física
0560397297282156,CIENCIAS_EXATAS_E_DA_TERRA,Física
0560742682726836,CIENCIAS_BIOLOGICAS,Ecologia
0561643838450805,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0563872406702918,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0564473021430652,CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo
0568823700347706,CIENCIAS_DA_SAUDE,Saúde Coletiva
0572649289828640,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0572934238487291,CIENCIAS_BIOLOGICAS,Genética
0574692206149746,CIENCIAS_AGRARIAS,Agronomia
0575383574431005,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0575448552848395,,
0581949996647434,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0581995805825838,ENGENHARIAS,Engenharia Civil
0592339091520248,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0592576058333460,CIENCIAS_SOCIAIS_APLICADAS,Economia
0592949496367500,ENGENHARIAS,Engenharia Sanitária
0602934516253730,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0604322217680166,CIENCIAS_HUMANAS,História
0609700701164944,CIENCIAS_DA_SAUDE,Nutrição
0610628446391103,ENGENHARIAS,Engenharia Elétrica
0612112281360342,CIENCIAS_EXATAS_E_DA_TERRA,Química
0613029292752945,CIENCIAS_AGRARIAS,Agronomia
0616781392067509,CIENCIAS_AGRARIAS,Engenharia Agrícola
0625817989520541,CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo
0625926234026025,CIENCIAS_SOCIAIS_APLICADAS,Economia
0627242913386197,CIENCIAS_AGRARIAS,Zootecnia
0634283724256002,CIENCIAS_SOCIAIS_APLICADAS,Administração
0638383316638349,CIENCIAS_HUMANAS,Geografia
0641905597849821,CIENCIAS_BIOLOGICAS,Microbiologia
0642035344132742,CIENCIAS_EXATAS_E_DA_TERRA,Química
0643506900121207,CIENCIAS_BIOLOGICAS,Zoologia
0646231743976574,CIENCIAS_AGRARIAS,Engenharia Agrícola
0651075688988405,CIENCIAS_AGRARIAS,Engenharia Agrícola
0659044051924335,LINGUISTICA_LETRAS_E_ARTES,Artes
0663890100375138,CIENCIAS_BIOLOGICAS,Morfologia
0665252951411171,CIENCIAS_SOCIAIS_APLICADAS,Economia
0672444382021221,LINGUISTICA_LETRAS_E_ARTES,Artes
0683719309513445,CIENCIAS_HUMANAS,Psicologia
0691141675196929,ENGENHARIAS,Engenharia de Produção
0698598388488101,CIENCIAS_BIOLOGICAS,Botânica
0700787558627219,ENGENHARIAS,Engenharia Biomédica
0706396442417351,CIENCIAS_BIOLOGICAS,Ecologia
0706941781603769,CIENCIAS_SOCIAIS_APLICADAS,Administração
0710138621945711,CIENCIAS_BIOLOGICAS,Bioquímica
0712774444037943,CIENCIAS_HUMANAS,Educação
0717085394895015,CIENCIAS_DA_SAUDE,Fisioterapia e Terapia Ocupacional
0717712408603945,ENGENHARIAS,Engenharia Mecânica
0719395243841543,CIENCIAS_BIOLOGICAS,Ecologia
0725459534795685,CIENCIAS_HUMANAS,Filosofia
0725750287341168,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0729442206315560,ENGENHARIAS,Engenharia Aeroespacial
0730921999502884,CIENCIAS_AGRARIAS,Medicina Veterinária
0733727866956524,CIENCIAS_HUMANAS,Antropologia
0750048720229101,ENGENHARIAS,Engenharia Química
0756846936338310,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
0757145627644716,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
0763948174052925,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0774787368316223,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0774809439237135,CIENCIAS_DA_SAUDE,Medicina
0776265935831372,CIENCIAS_BIOLOGICAS,Bioquímica
0786281388331891,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
0790397989788798,CIENCIAS_DA_SAUDE,Educação Física
0798429800100457,CIENCIAS_BIOLOGICAS,Genética
0798581687684229,CIENCIAS_AGRARIAS,
0802023762311924,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0819806116588254,ENGENHARIAS,Engenharia Elétrica
0821953182719251,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
0824635845404663,CIENCIAS_AGRARIAS,Agronomia
0833253899619895,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0833667862532867,CIENCIAS_BIOLOGICAS,Ecologia
0837207761621512,CIENCIAS_HUMANAS,Sociologia
0839384384588687,CIENCIAS_BIOLOGICAS,Parasitologia
0839897772624831,ENGENHARIAS,Engenharia Mecânica
0842543237562135,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0852575277868608,CIENCIAS_SOCIAIS_APLICADAS,Economia
0853815443012893,CIENCIAS_DA_SAUDE,Medicina
0855458644750836,ENGENHARIAS,Engenharia Elétrica
0859433956722739,ENGENHARIAS,Engenharia Civil
0862215016729506,ENGENHARIAS,Engenharia de Produção
0863139085649116,CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia
