Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
0236607123089481,São Paulo,SP,Brasil,Instituto Nacional de Pesquisas Espaciais,Cachoeira Paulista,SP,Brasil
0244287001731375,Cruz Alta,RS,Brasil,Universidade Federal de Pelotas,Porto Alegre,RS,Brasil
0249501011078363,Porto Alegre,RS,Brasil,Museu de Ciências Naturais de Porto Alegre - SEMA,Porto Alegre,RS,Brasil
0252438295481654,Vitória,ES,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
0253893659766034,Florianópolis,SC,Brasil,Universidade de Caxias do Sul,Caxias do Sul,RS,Brasil
0261885352003041,Correntes,PE,Brasil,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
0280057480652087,Rio de Janeiro,RJ,Brasil,Universidade Estadual de Maringá,Maringá,PR,Brasil
0286666531410312,Ibiaçá,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0287319108203303,Presidente Prudente,SP,Brasil,Universidade Estadual do Oeste do Paraná,Marechal Cândido Rondon,PR,Brasil
0288146552740769,São Luís de Montes Belos,GO,Brasil,Instituto Federal Goiano,Rio Verde,GO,Brasil
0288522400109962,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0294264745783506,Belém,PA,Brasil,Universidade Federal do Pará,Belém,PA,Brasil
0296723198831816,Cuiabá,MT,Brasil,Universidade Federal de Mato Grosso,Cuiabá,MT,Brasil
0301425696999524,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0301446708793558,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0302689027695014,Kecskemet,,Hungria,Empresa Brasileira de Pesquisa Agropecuária,Santo Antônio de Goiás,GO,Brasil
0307370685516296,Campinas,SP,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0307508005355403,Salvador,BA,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0314035098884256,Jaboatão dos Guararapes,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
0327037150655150,São Paulo,SP,Brasil,Centro Universitário da Fei,São Bernardo do Campo,SP,Brasil
0330238316162640,Santiago de Cuba,,Cuba,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Rio de Janeiro,RJ,Brasil
0334475377635171,Santa Vitória do Palmar,RS,Brasil,Universidade Federal do Rio Grande,Rio Grande,RS,Brasil
0335447705890131,São Paulo,SP,Brasil,Universidade Federal de Alagoas,Maceió,AL,Brasil
0342367279777983,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0352640252677539,Barracão,RS,Brasil,Universidade do Vale do Rio dos Sinos,São Leopoldo,RS,Brasil
0353068309348963,Lauro Müller,SC,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
0356125933191024,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0368401964608331,Juiz de Fora,MG,Brasil,Universidade Federal de Viçosa,Vicosa,MG,Brasil
0375482813716315,Santa Rita,PB,Brasil,Universidade Federal da Paraíba,JOAO PESSOA,PB,Brasil
0383092486694460,São Joaquim,SC,Brasil,Universidade de Brasília,Brasília,DF,Brasil
0383359382532310,São Paulo,SP,Brasil,"Faculdade de Filosofia, Letras e Ciências Humanas",São Paulo,SP,Brasil
0383834501086115,Fortaleza,CE,Brasil,Universidade Federal do Maranhão,São Luís,MA,Brasil
0384726674523131,CAMPINA GRANDE,PB,Brasil,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
0388600397612432,BELO HORIZONTE,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0392398629237265,Montes Claros,MG,Brasil,Universidade Estadual de Montes Claros,Montes Claros,MG,Brasil
0400232298849115,Rio de Janeiro,RJ,Brasil,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0406937598151848,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0410139532987770,Rio de Janeiro,RJ,Brasil,Instituto de Pesquisa Jardim Botânico do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0411920276076528,Farias Brito,CE,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Sete Lagoas,MG,Brasil
0415198949492913,Brasilia,DF,Brasil,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0415561263095335,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
0422967504080267,São José dos Campos,SP,Brasil,Universidade de Brasília,Brasília,DF,Brasil
0430275226558223,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0431688649128529,Uberlândia,MG,Brasil,Universidade Federal de São Carlos,São Carlos,SP,Brasil
0441646892659099,Santa Maria,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0446055905975647,Jataí,GO,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0449078764189687,MAJOR IZIDORO,AL,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Maceió,AL,Brasil
0455487141833418,Santa Cruz do Sul,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0457288721496478,Pelotas,RS,Brasil,Universidade Federal de Pelotas,Pelotas,RS,Brasil
0464969547546706,Bom Retiro do Sul,RS,Brasil,Companhia de Pesquisa de Recursos Minerais,Brasília,DF,Brasil
0479854777557016,Rio de Janeiro,RJ,Brasil,Universidade Federal do Espírito Santo,Alegre,ES,Brasil
0494282486171725,Pitanga,PR,Brasil,Universidade Tecnológica Federal do Paraná,Curitiba,PR,Brasil
0503733087170121,Mirassol,SP,Brasil,Universidade Estadual de Londrina,Londrina,PR,Brasil
0505123426174183,São Paulo,SP,Brasil,Instituto Nacional de Pesquisas Espaciais,São José dos Campos,SP,Brasil
0507218392616237,Curitiba,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0515333775813047,Juiz de Fora,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
0516950924338641,Porto Alegre,RS,Brasil,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,RS,Brasil
0517155355307078,Campinas,SP,Brasil,Instituto de Tecnologia de Alimentos,Campinas,SP,Brasil
0527166138295670,Porto Alegre,RS,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0535860239259102,Belo Horizonte,MG,Brasil,Instituto Nacional de Pesquisas Espaciais,São José dos Campos,SP,Brasil
0543546857869709,Belem,PA,Brasil,Universidade do Estado do Rio de Janeiro,Nova Friburgo,RJ,Brasil
0547272537840350,Terra Boa,PR,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
0555523196295968,São Paulo,SP,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0557976975338451,São Paulo,SP,Brasil,Centro Universitário Campo Limpo Paulista,Campo Limpo Paulista,SP,Brasil
0560039556461253,CAMPINAS,SP,Brasil,Instituto Nacional de Pesquisas Espaciais,São José dos Campos,SP,Brasil
0560397297282156,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0560742682726836,Poços de Caldas,MG,Brasil,Universidade Federal de Uberlândia,Uberlândia,MG,Brasil
0561643838450805,Rio de Janeiro,RJ,Brasil,Universidade Federal Fluminense,Niteroi,RJ,Brasil
0563872406702918,São Paulo,SP,Brasil,Universidade Federal de Uberlândia,Uberlândia,MG,Brasil
0564473021430652,Fortaleza,CE,Brasil,Faculdade de Arquitetura e Urbanismo - UFRJ,Rio de Janeiro,RJ,Brasil
0568823700347706,Rio de Janeiro,RJ,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
0572649289828640,Itararé,SP,Brasil,Pontifícia Universidade Católica do Paraná,Curitiba,PR,Brasil
0572934238487291,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0574692206149746,Mogi Mirim,SP,Brasil,Instituto Agronômico de Campinas,Cordeirópolis,SP,Brasil
0575383574431005,Matão,SP,Brasil,Instituto Nacional de Pesquisas da Amazônia,Manaus,AM,Brasil
0575448552848395,Rio de Janeiro,RJ,Brasil,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0581949996647434,São Paulo,SP,Brasil,Universidade de São Paulo,Sao Paulo,SP,Brasil
0581995805825838,Chopinzinho,PR,Brasil,Universidade Federal da Integração Latino-Americana,Foz do Iguaçu,PR,Brasil
0592339091520248,São Domingos do Sul,RS,Brasil,Universidade Federal de Pelotas,Pelotas,RS,Brasil
0592576058333460,Juiz de Fora MG,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
0592949496367500,Lajeado,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0602934516253730,PORTO ALEGRE,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0604322217680166,Itaguaí,RJ,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
0609700701164944,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0610628446391103,Shangai,,China,SDC Engenharia e Sistemas,Sao Paulo,SP,Brasil
0612112281360342,Umuarama,PR,Brasil,Universidade Estadual do Oeste do Paraná,Toledo,PR,Brasil
0613029292752945,Santo André,SP,Brasil,Universidade Estadual do Oeste do Paraná,Cascavel,PR,Brasil
0616781392067509,Glicério,SP,Brasil,Universidade Federal do Triângulo Mineiro,Iturama,MG,Brasil
0625817989520541,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0625926234026025,Porto Alegre,RS,Brasil,Universidade do Vale do Rio dos Sinos,Porto Alegre,RS,Brasil
0627242913386197,Batayporã,MS,Brasil,Universidade Federal da Bahia,Salvador,BA,Brasil
0634283724256002,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
0638383316638349,Itapeva,SP,Brasil,Universidade Federal Fluminense,Campos dos Goytacazes,RJ,Brasil
0641905597849821,Joinville,SC,Brasil,Universidade da Região de Joinville,Joinville,SC,Brasil
0642035344132742,PORTO ALEGRE,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0643506900121207,Cascavel,PR,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
0646231743976574,Grajaú,MA,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
0651075688988405,Goiana,PE,Brasil,Universidade Federal de Rondonópolis,Rondonópolis,MT,Brasil
0659044051924335,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0663890100375138,Santa Maria,RS,Brasil,Universidade Federal de Mato Grosso do Sul,Campo Grande,MS,Brasil
0665252951411171,Araraquara,SP,Brasil,Universidade Federal de São Carlos,Sorocaba,SP,Brasil
0672444382021221,Marília,SP,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0683719309513445,Rio de Janeiro,SP,Brasil,Universidade Presbiteriana Mackenzie,Sao Paulo,SP,Brasil
0691141675196929,Rio de Janeiro,RJ,Brasil,Instituto Brasileiro de Geografia  e Estatística,Rio de Janeiro,RJ,Brasil
0698598388488101,Monte Alto,SP,Brasil,Universidade Estadual de Maringá,Maringá,PR,Brasil
0700787558627219,Rio de Janeiro,RJ,Brasil,Centro Brasileiro de Pesquisas Físicas,Rio de Janeiro,RJ,Brasil
0706396442417351,Rio Claro,SP,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0706941781603769,Belo Horizonte,MG,Brasil,Universidade do Vale do Rio dos Sinos,Porto Alegre,RS,Brasil
0710138621945711,SantÀna do Livramento,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0712774444037943,Rio de Janeiro,RJ,Brasil,Universidade do Estado do Rio de Janeiro,Duque de Caxias,RJ,Brasil
0717085394895015,Belo Horizonte,MG,Brasil,Universidade Cidade de São Paulo,São Paulo,SP,Brasil
0717712408603945,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0719395243841543,Rio de Janeiro,RJ,Brasil,Instituto Nacional da Mata Atlântica,Santa Teresa,ES,Brasil
0725459534795685,Recife,PE,Brasil,Universidade Federal de Pernbumco,Recife,PE,Brasil
0725750287341168,Natal,RN,Brasil,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Campos dos Goytacazes,RJ,Brasil
0729442206315560,Guarulhos,SP,Brasil,Instituto Tecnológico de Aeronáutica,São José dos Campos,SP,Brasil
0730921999502884,Cachoeira do Sul,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0733727866956524,Petrópolis,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0750048720229101,Cascavel,PR,Brasil,Universidade Estadual do Oeste do Paraná,Toledo,PR,Brasil
0756846936338310,Jacareí,SP,Brasil,Universidade do Vale do Itajaí,Itajaí,SC,Brasil
0757145627644716,Fortaleza,CE,Brasil,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,Acarape,CE,Brasil
0763948174052925,Sertãozinho,SP,Brasil,Comissão Nacional de Energia Nuclear,Sao Paulo,SP,Brasil
0774787368316223,Santa Maria,RS,Brasil,Empresa Brasileira de Pesquisa Agropecuária
0774809439237135,RIO DE JANEIRO,RJ,Brasil,Instituto Nacional de Câncer,Rio de Janeiro,RJ,Brasil
0776265935831372,Rio de Janeiro,RJ,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
0786281388331891,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0790397989788798,São Paulo,SP,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0798429800100457,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0798581687684229,Paramaribo,,Suriname,Universidade Federal de Sergipe,São Cristóvão,SE,Brasil
0802023762311924,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0819806116588254,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0821953182719251,Bragança Paulista,SP,Brasil,Instituto de Pesca da Secretária da Agricultura do Estado de São Paulo,Cananéia,SP,Brasil
0824635845404663,Passo Fundo,RS,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Passo Fundo,RS,Brasil
0833253899619895,Rio de Janeiro,RJ,Brasil,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0833667862532867,Aratiba,RS,Brasil,Universidade Federal de Jataí,Jataí,GO,Brasil
0837207761621512,Aracajú,SE,Brasil,Universidade Federal da Bahia,Salvador,BA,Brasil
0839384384588687,Bento Gonçalves,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0839897772624831,Bauru,SP,Brasil,Universidade do Estado de Santa Catarina,Joinville,SC,Brasil
0842543237562135,São Paulo,SP,Brasil,Instituto Nacional de Pesquisas Espaciais,São José dos Campos,SP,Brasil
0852575277868608,Rio de Janeiro,RJ,Brasil,Fundação Getulio Vargas - SP,São Paulo,SP,Brasil
0853815443012893,RIO DE JANEIRO,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0855458644750836,Uberlândia,MG,Brasil,Universidade Federal de Uberlândia,Uberlândia,MG,Brasil
0859433956722739,Porto Alegre,RS,Brasil,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,RS,Brasil
0862215016729506,Gravataí,RS,Brasil,Universidade do Vale do Rio dos Sinos,São Leopoldo,RS,Brasil
0863139085649116,Guaporé,RS,Brasil,Universidade Federal do Rio Grande,Porto Alegre,RS,Brasil
0865191340133424,Cruz Alta,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
0867329429331814,Mandaguari,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0869167120016962,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
0873496251879638,João Pessoa,PB,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
0875527722518904,Belo Horizonte,MG,Brasil,Instituto Nacional de Pesquisas Espaciais,São José dos Campos,SP,Brasil
0879397251389513,Areia,PB,Brasil,Universidade Federal do Tocantins,Gurupi,TO,Brasil
0880545003848108,Belo Horizonte,MG,Brasil,Centro Nacional de Pesquisa em Energia e Materiais,Campinas,SP,Brasil
0887502044987077,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0896060959622431,São Carlos,SP,Brasil,Universidade Federal de São Carlos,São Carlos,SP,Brasil
0900173884647980,Rauna Kalan,,Índia,Universidade Federal de Pernambuco,Recife,PE,Brasil
0900564181115140,Rio de Janeiro,RJ,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
0919139576430566,Timóteo,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
0920058820470751,Irineópolis,SC,Brasil,Universidade do Estado de Santa Catarina,Lages,SC,Brasil
0920629723928382,Barra do Garças,MT,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0922348490725786,Palmitinho,RS,Brasil,Universidade Tecnológica Federal do Paraná,Pato Branco,PR,Brasil
0930308397178534,Rio de Janeiro,RJ,Brasil,Universidade de Brasília,Brasilia,DF,Brasil
0931860042124079,São Paulo,SP,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0935409654079900,FORTALEZA,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0938805013383423,Dracena,SP,Brasil,Universidade Estadual do Oeste do Paraná,Cascavel,PR,Brasil
0945022153163542,São João de Meriti,RJ,Brasil,Universidade Federal de São João Del-Rei,Divinopolis,MG,Brasil
0945139577862255,Juiz de Fora,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
0946722048975388,Serrita,PE,Brasil,Instituto de Estudos Avançados em Comunicações,Campina Grande,PB,Brasil
0954824992144106,Ouro Preto,MG,Brasil,Universidade Federal de Ouro Preto
0957444591428758,Niterói,RJ,Brasil,Universidade Federal Fluminense,Niteroi,RJ,Brasil
0961099296657502,São Paulo,SP,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0971091607543044,Macuco de Minas,MG,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
0973686004919998,São José dos Pinhais,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0988858984939965,Rio de Janeiro,RJ,Brasil,Universidade de Brasília,Brasília,DF,Brasil
0989611785962681,Santarém,PA,Brasil,Universidade Federal Rural da Amazônia,Capitão Poço,PA,Brasil
0994050156415890,Guariba,SP,Brasil,Universidade de São Paulo-ICMC,São Carlos,SP,Brasil
0994187406222820,Hechingen,,Alemanha,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0998058195570736,Rio de Janeiro,RJ,Brasil,Universidade do Estado de Santa Catarina,Joinville,SC,Brasil
0999266992389089,Quirinópolis,GO,Brasil,Universidade Federal de Uberlândia,Uberlândia,MG,Brasil
1006151597195479,Garibaldi,RS,Brasil,Universidade Feevale,Porto Alegre,RS,Brasil
1007409099917860,João Pessoa,PB,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
1007816901824719,Taquaritinga,SP,Brasil,Instituto de Zootecnia do Governo do Estado de São Paulo,Sertãozinho,SP,Brasil
