source,target
Universidade Federal De Goiás,The State University Of New Jersey - New Brunswick
The State University Of New Jersey - New Brunswick,University Of Oxford
Universidade Federal Rural De Pernambuco,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Estadual Do Norte Fluminense Darcy Ribeiro
Universidade De Fortaleza,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade Federal De Pernambuco
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,University Of Wales College Of Cardiff
Universidade Federal Fluminense,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Católica De Santos,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Pontifícia Universidade Católica Do Rio De Janeiro,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Imperial College
Universidade Do Estado Do Rio Grande Do Norte,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Piauí,Universidade Federal Do Piauí
Universidade Federal Do Piauí,Universidade Federal Do Ceará
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Paraná
Universidade Federal Da Paraíba,Instituto Tecnológico De Aeronáutica
Instituto Tecnológico De Aeronáutica,Instituto Tecnológico De Aeronáutica
Universidade Federal Do Espírito Santo,Universidade De São Paulo
Universidade De São Paulo,Universidade Federal Do Espírito Santo
Universidade Federal De Ouro Preto,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Pelotas,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade De São Paulo
Universidade De São Paulo,Instituto Nacional De Pesquisas Espaciais
Instituto Nacional De Pesquisas Espaciais,Instituto Nacional De Pesquisas Espaciais
Universidade Federal De Santa Maria,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Pontifícia Universidade Católica Do Rio Grande Do Sul,Pontifícia Universidade Católica Do Rio Grande Do Sul
Pontifícia Universidade Católica Do Rio Grande Do Sul,Eberhard Karls Universitaet Tuebingen
Universidade Federal Do Espírito Santo,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal Da Paraíba,Institut National Polytechnique De Toulouse
Institut National Polytechnique De Toulouse,Institut National Polytechnique De Toulouse
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade De Passo Fundo,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Escola Superior De Agricultura Luiz De Queiroz,Escola Superior De Agricultura Luiz De Queiroz
Escola Superior De Agricultura Luiz De Queiroz,Escola Superior De Agricultura Luiz De Queiroz
Universidade Federal De Goiás,Universidade Federal De Lavras
Universidade Federal De Lavras,Universidade Federal De Lavras
Universidade Federal Do Pará,Universidade Federal Do Pará
Universidade Federal Do Pará,Universidade Federal Do Pará
Universidade Federal De Mato Grosso,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal Do Rio Grande Do Sul,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Estadual Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Pontifícia Universidade Católica De Campinas,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Escola Politécnica,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Université Paris-est Créteil Val-de-marne
Universidade Federal Rural De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidad Del Oriente Cuba,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Federal Do Rio Grande,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De Alagoas,Universidade Federal De Alagoas
Universidade Federal De Alagoas,Pontifícia Universidade Católica Do Rio Grande Do Sul
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal De Santa Maria,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Duke University
Universidade Federal Do Ceará,Universidade Estadual Do Ceará
Universidade Estadual Do Ceará,Universidade De São Paulo
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal Da Paraíba,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade Federal De Pernambuco
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Universidade Federal De Santa Maria
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal Do Ceará,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal Da Paraíba,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Newcastle University
Universidade Federal De Minas Gerais,Universidade De Brasília
Universidade De Brasília,Universidade De Brasília
Universidade Estadual De Montes Claros,Universidade Federal De Uberlândia
Universidade Federal De Uberlândia,Universidade Federal De Uberlândia
Instituto Militar De Engenharia,Pontifícia Universidade Católica Do Rio De Janeiro
Instituto Militar De Engenharia,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Harvard University
Departamento De Engenharia Elétrica,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Santa Úrsula,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal De Lavras,Universidade Federal De Lavras
Universidade Federal De Lavras,Universidade Federal De Lavras
Universidade Do Estado Do Rio De Janeiro,Universidade Federal Fluminense
Universidade Federal Fluminense,Université De Perpignan - Via Domitia
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,"Imperial College At Silwood Park, University Of London"
Universidade Federal De Minas Gerais,"Imperial College At Silwood Park, University Of London"
Faculdade De Tecnologia De São Paulo,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal De Uberlândia,Universidade Federal De São Carlos
Universidade Federal De São Carlos,Universidade Federal De São Carlos
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Goiás,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Alagoas,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Estadual Do Ceará
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Rheinische Friedrich-wilhelms-universität Bonn
Universidade Federal De Pelotas,Universidade Federal De Pelotas
Universidade Federal De Pelotas,Universidade Federal Do Rio Grande Do Sul
Universidade Do Vale Do Rio Dos Sinos,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Pará
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Pará
Universidade Federal Do Rio De Janeiro,Instituto De Pesquisa Jardim Botânico Do Rio De Janeiro
Instituto De Pesquisa Jardim Botânico Do Rio De Janeiro,Instituto De Pesquisa Jardim Botânico Do Rio De Janeiro
Universidade Tecnológica Federal Do Paraná,Universidade Tecnológica Federal Do Paraná
Universidade Tecnológica Federal Do Paraná,Université Toulouse Iii Paul Sabatier
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade De São Paulo,Instituto Nacional De Pesquisas Espaciais
Instituto Nacional De Pesquisas Espaciais,Instituto Nacional De Pesquisas Espaciais
Universidade Federal De São Carlos,Universidade Federal De São Carlos
Universidade Federal De São Carlos,Universidade Federal De São Carlos
Universidade Federal De Juiz De Fora,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal Do Pará,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Universidade Estadual De Campinas
Universidade Estadual De Maringá,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade De São Paulo,Universidade Federal De Lavras
Universidade Federal De Lavras,Universidade Federal De Minas Gerais
Instituto Tecnológico De Aeronáutica,Instituto Tecnológico De Aeronáutica
Instituto Tecnológico De Aeronáutica,University Of Southern California
Instituto De Física Gleb Wataghin,Instituto Tecnológico De Aeronáutica
Instituto Tecnológico De Aeronáutica,Instituto Tecnológico De Aeronáutica
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal Do Espírito Santo,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Pontifícia Universidade Católica Do Rio De Janeiro
Universidade Santa Úrsula,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Federal Do Rio De Janeiro
Universidade Estadual De Ponta Grossa,Pontifícia Universidade Católica Do Paraná
Pontifícia Universidade Católica Do Paraná,Universitè De Technologie De Compiègne
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De São Carlos,Instituto Agronômico De Campinas
Instituto Agronômico De Campinas,Universidade De São Paulo
Rio Claro,Instituto Nacional De Pesquisas Espaciais
Instituto Nacional De Pesquisas Espaciais,Université Toulouse Iii Paul Sabatier
Universidade Do Estado Do Rio De Janeiro,Universidade Do Estado Do Rio De Janeiro
Universidade Do Estado Do Rio De Janeiro,Universidade Do Estado Do Rio De Janeiro
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Estadual Do Oeste Do Paraná,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Juiz De Fora,Universidade Federal Fluminense
Universidade Federal Fluminense,Universidade De São Paulo
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Rheinisch Westfälische Technische Hochschule Aachen
Universidade Federal De Ouro Preto,Universidade De São Paulo
Universidade De São Paulo,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Instituto Tecnológico De Aeronáutica,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Carnegie Mellon University
Universidade Estadual De Maringá,Universidade Estadual De Maringá
Universidade Estadual De Maringá,Universidade De São Paulo
Pontifícia Universidade Católica De Campinas,Escola Superior De Agricultura Luiz De Queiroz
Escola Superior De Agricultura Luiz De Queiroz,Escola Superior De Agricultura Luiz De Queiroz
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Federal Fluminense,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,University Of Sussex
Universidade Estadual De Maringá,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,University Of Sheffield
Faculdade De Ciências E Tecnologia,Faculdade De Ciências E Tecnologia
Faculdade De Ciências E Tecnologia,"Faculdade De Ciências E Tecnologia, Universidade Estadual Paulista"
Universidade Federal Do Paraná,Fundação Oswaldo Cruz
Fundação Oswaldo Cruz,Universidade Federal Do Rio De Janeiro
