CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Mecânica,1983.0,1,Licenciatura Plena Para A Formação De Professores,1988.0,1.0,Engenharia De Materiais,2018.0,2.0,,,
Mecânica,1979.0,1,Licenciatura Plena Para A Graduação De Professores,1989.0,1.0,Engenharia Civil,2016.0,2.0,,,
Mecânica,1977.0,1,Licenciatura Plena Ensino Do 2o Grau,1988.0,1.0,Engenharia Da Energia - Cefet/mg - Ufsj,2010.0,2.0,,,
Mecânica,1985.0,1,Licenciatura Plena Ensino Química,1981.0,1.0,Modelagem Matemática E Computacional,2018.0,2.0,,,
Mecânica,1974.0,1,Graduação De Professores,1981.0,1.0,Tecnologia Manufatura Integrada Por Computador,2002.0,1.0,,,
Informática Industrial,2009.0,1,Licenciatura Plena,1997.0,1.0,Química,2018.0,1.0,,,
Mecânica,1990.0,1,Licenciatura Plena Em Química Pura E Aplicada,1986.0,1.0,Modelagem Matemática E Computacional,2019.0,1.0,,,
Instrumentação Eletrônica E Controle De Porcessos,2004.0,1,Licenciatura Plena Em Química,1988.0,1.0,Química,2016.0,1.0,,,
Instrumentação,1979.0,1,Licenciatura Plena Em Metalurgia E Mecânica,1988.0,1.0,Programa De Pó-graduação Em Engenharia Elétrica,2009.0,1.0,,,
Informática Industrial/automação,2008.0,1,Licenciatura Plena,1987.0,1.0,Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais,2019.0,1.0,,,
Informática Industrial/automação,2007.0,1,Letras,2011.0,1.0,Programa De Pós-graduação Em Engenharia Elétrica,2009.0,1.0,,,
Informática Industrial (integrado Ao Ensino Médio),2007.0,1,Letras,2012.0,1.0,Programa De Pós-graduação Em Engenharia Elétrica (ppgel),2012.0,1.0,,,
Mecânica,1993.0,1,Licenciatura Plena Em Eletricidade / Eletrônica,1991.0,1.0,Programa De Pós-graduação Multicêntrico Em Química,2019.0,1.0,,,
  Mecânico,1974.0,1,Letras,2014.0,1.0,Tecnologia,1988.0,1.0,,,
Meio Ambiente,2001.0,1,Licenciatura Plena Em Eletricidade,1988.0,1.0,Programa De Pós-graduação Multicêntrico Em Química - Rede Mineira De Químic,2019.0,1.0,,,
Química,2012.0,1,Letras: Tecnologias De Edição,2014.0,1.0,Sistemas Elétricos De Potencia,2012.0,1.0,,,
Química Industrial,1969.0,1,Licenc. P. P/ A Grad. De Prof. Parte De Form Espec,1987.0,1.0,Sistemas De Controle,2015.0,1.0,,,
Química Industrial,1979.0,1,Licenciado Pleno Para Graduação De Professores Da,1990.0,1.0,Sistemas De Controle,2012.0,1.0,,,
Química Industrial,1986.0,1,Licenciatura Plena Em Construção Civil,1985.0,1.0,Química Inorgânica,2016.0,1.0,,,
Química Industrial,1991.0,1,Licenciatura Plena De Professores,1991.0,1.0,Programa De Engenharia Elétrica,2014.0,1.0,,,
Química Industrial,1995.0,1,Licenciatura Plena Da Parte De Formação Especial D,1994.0,1.0,Administração,2015.0,1.0,,,
Química Industrial,1996.0,1,Licenciatura Plena Em Mecânica,1988.0,1.0,Modelagem Matemática E Computacional,2002.0,1.0,,,
