CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Eletrônica,1996.0,1.0,Ciências Biológicas,2006.0,5.0,Economia,2006.0,4.0,Engenharia Elétrica,2013.0,4
Informática Industrial Col.  Uninversitário,1996.0,1.0,Agronomia,1976.0,5.0,Zootecnia,2001.0,4.0,Ciências Biológicas (zoologia),2000.0,4
Iniciação Científica Em Aracnologia,1990.0,1.0,Agronomia,1985.0,5.0,Zootecnia,1999.0,4.0,Engenharia Civil,2010.0,4
Irrigação E Drenagem,1988.0,1.0,Agronomia,1986.0,5.0,Geologia,1992.0,4.0,Engenharia Elétrica,1994.0,4
Leite E Derivados,2002.0,1.0,Agronomia,1987.0,5.0,Engenharia Mecânica,1996.0,4.0,Zootecnia,2001.0,4
Materiais,2002.0,1.0,Ciências Econômicas,2001.0,5.0,Engenharia Mecânica,1992.0,4.0,Física,1990.0,3
Mecânica,1990.0,1.0,Agronomia,1998.0,5.0,Física,1989.0,4.0,Engenharia Química,1992.0,3
Habilitação Básica Em Patologia Clínica,1988.0,1.0,Agronomia,1999.0,5.0,Química,2006.0,4.0,Engenharia Mecânica,2002.0,3
Habilitação Profissional De Informática,2001.0,1.0,Agronomia,2001.0,5.0,Zootecnia,2002.0,4.0,Química,1995.0,3
Metalurgia,1986.0,1.0,Agronomia,2003.0,5.0,Física,2000.0,4.0,Quimica,1997.0,3
Mecânica Geral,2000.0,1.0,Engenharia Mecânica,1983.0,5.0,Engenharia Civil,1985.0,3.0,Matemática,2015.0,3
Meteorologia,1980.0,1.0,Engenharia Mecânica,1985.0,5.0,Engenharia Elétrica,1987.0,3.0,Geociências,1998.0,3
Música - Instrumento Piano,1987.0,1.0,Engenharia Química,1981.0,5.0,Engenharia Elétrica,1995.0,3.0,Matemática,2014.0,3
Processamento De Dados,1993.0,1.0,Engenharia Química,1993.0,5.0,Engenharia Civil,2006.0,3.0,Genética E Biologia Molecular,1999.0,3
Processamento De Dados,1996.0,1.0,Engenharia Química,2001.0,5.0,Economia,2009.0,3.0,Química,2010.0,3
Nutrição E Dietética,1996.0,1.0,Física,1982.0,5.0,Ciências Biológicas (zoologia),1992.0,3.0,Zootecnia,2008.0,3
Pcr Do Desenho Do Pimer À Reação Aspectos Práticos,1996.0,1.0,Geografia,2002.0,5.0,Ecologia,1991.0,3.0,Zootecnia,1996.0,3
Profissionalização Em  Eletrônico,1976.0,1.0,Medicina Veterinária,2003.0,5.0,Ecologia,1994.0,3.0,Zootecnia,2007.0,3
Processamento De Dados,1998.0,1.0,Química,1990.0,5.0,Ecologia,1992.0,3.0,Física,1994.0,3
Química,1984.0,1.0,Engenharia Civil,2004.0,4.0,Química,2011.0,3.0,Física,2000.0,3
Química,2002.0,1.0,Agronomia,1971.0,4.0,Agronomia,1999.0,3.0,Física,2005.0,3
Química Com Ênfase Em Análise De Processos Industr,2004.0,1.0,Engenharia Elétrica,1984.0,4.0,Ciências Farmacêuticas,2005.0,3.0,Física,1996.0,3
Telecomunicações,1992.0,1.0,Ciências Biológicas,2004.0,4.0,Ciências Biológicas (zoologia),2003.0,3.0,Genética E Melhoramento De Plantas,2002.0,3
Técnicas Agrícolas (nível Médio),1992.0,1.0,Engenharia Elétrica,2002.0,4.0,Química,1987.0,3.0,Química,1994.0,3
´técnico Agrícola Com Habilitação Plena Em Agropec,1997.0,1.0,Engenharia Civil,1995.0,4.0,Psicologia,2010.0,3.0,Engenharia Elétrica,2001.0,3
,,,Engenharia Elétrica,1988.0,4.0,"Engenharia De Minas, Metalúrgica E De Materiais",1982.0,3.0,Engenharia Elétrica,2000.0,3
,,,Ciência Da Computação,2005.0,4.0,Engenharia Civil,2009.0,3.0,Engenharia Elétrica,2005.0,3
,,,Engenharia Elétrica,2003.0,4.0,Psicologia,1997.0,3.0,Engenharia Mecânica,1996.0,3
,,,Ciência Da Computação,2006.0,4.0,Economia,1988.0,3.0,Engenharia Mecânica,2000.0,3
,,,Engenharia Elétrica,1993.0,4.0,Química,2005.0,3.0,Engenharia Elétrica,2006.0,3
,,,Engenharia Civil,1999.0,4.0,Engenharia Elétrica,2000.0,3.0,Engenharia Elétrica,2011.0,3
,,,Ciências Biológicas,1975.0,4.0,Engenharia Mecânica,1997.0,3.0,Engenharia Civil,2008.0,3
,,,Ciências Biológicas,1998.0,4.0,Engenharia Mecânica,1998.0,3.0,Engenharia Civil,2009.0,3
,,,Engenharia Civil,1985.0,4.0,Engenharia Elétrica,2003.0,3.0,Engenharia Civil,2014.0,3
,,,Agronomia,1979.0,4.0,Matemática,2009.0,3.0,Engenharia De Alimentos,2000.0,3
,,,Agronomia,1978.0,4.0,Engenharia Química,1988.0,3.0,Engenharia De Produção,2002.0,3
,,,Engenharia Mecânica,1993.0,4.0,Engenharia Química,1987.0,3.0,Engenharia De Alimentos,2009.0,3
,,,Agronomia,1977.0,4.0,Engenharia Mecânica,1986.0,3.0,Engenharia Elétrica,1993.0,3
,,,Engenharia Química,1983.0,4.0,Engenharia Química,1991.0,3.0,Engenharia De Produção,2015.0,3
,,,Engenharia Química,1991.0,4.0,História,1994.0,3.0,Engenharia Elétrica,1998.0,3
,,,Engenharia Civil,2000.0,4.0,Engenharia Mecânica,1990.0,3.0,Agronomia (fitotecnia),2003.0,3
,,,Agronomia,1974.0,4.0,Engenharia Mecânica,1989.0,3.0,Educação,2008.0,3
,,,Ciências Sociais,1996.0,4.0,Matemática,1988.0,3.0,Engenharia Agrícola,2010.0,3
,,,Engenharia Elétrica,2006.0,4.0,Engenharia Mecânica,1994.0,3.0,Educação,1999.0,3
,,,Agronomia,1982.0,4.0,Engenharia Mecânica,1993.0,3.0,Educação,2001.0,3
,,,Engenharia Agronômica,1999.0,4.0,Geologia,1984.0,3.0,Engenharia Civil,2000.0,3
,,,Física,1994.0,4.0,Geografia,2006.0,3.0,Engenharia Civil,1994.0,3
,,,Física,2005.0,4.0,Engenharia Química,2005.0,3.0,Economia,2007.0,3
,,,Agronomia,2000.0,4.0,Engenharia Mecânica,2010.0,3.0,Economia,2006.0,3
,,,Geologia,1981.0,4.0,Genética E Melhoramento,1995.0,3.0,Economia,2012.0,3
,,,Ciências Econômicas,2006.0,4.0,Física,1994.0,3.0,Economia,2008.0,3
,,,Matemática,2001.0,4.0,Física,1987.0,3.0,Ciências Biológicas (zoologia),2002.0,3
,,,Medicina Veterinária,1992.0,4.0,Física,1991.0,3.0,Computação,2003.0,3
