CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Processamento De Dados,1994.0,2.0,Física,2003.0,23.0,Física,1989.0,15.0,Física,1985.0,16
Processamento De Dados,1995.0,2.0,Física,1970.0,23.0,Física,1981.0,14.0,Matemática,2008.0,16
Processamento De Dados,1996.0,2.0,Física,1983.0,22.0,Engenharia Química,1994.0,14.0,História,1997.0,16
Eletrônica,1988.0,2.0,Física,1988.0,22.0,História,1989.0,14.0,Educação,1993.0,16
Quimica,1999.0,2.0,Química,1993.0,22.0,Matemática,2005.0,14.0,Engenharia Elétrica,1998.0,15
Química,1978.0,2.0,Física,1997.0,22.0,Matemática,2006.0,14.0,Engenharia Elétrica,2005.0,15
Química,1980.0,2.0,Medicina,1986.0,22.0,Engenharia Elétrica,2006.0,14.0,Engenharia Elétrica,2003.0,15
Química,1981.0,2.0,Agronomia,1997.0,22.0,Engenharia Mecânica,1989.0,14.0,Física,1990.0,15
Química,1982.0,2.0,Física,1999.0,22.0,Educação,1996.0,14.0,Zootecnia,1998.0,15
Edificações,1989.0,2.0,Medicina,1993.0,21.0,Química,2005.0,14.0,Engenharia Elétrica,1992.0,15
Química,1987.0,2.0,Ciências Biológicas,1988.0,21.0,Química,2001.0,14.0,Zootecnia,2004.0,15
Tecnologia De Alimentos,1998.0,2.0,Física,1991.0,21.0,Zootecnia,1996.0,14.0,Engenharia Mecânica,1998.0,15
Eletrônica,1974.0,2.0,Ciências Biológicas,1979.0,21.0,Zootecnia,2002.0,14.0,Engenharia Mecânica,1997.0,15
Eletrônica,1990.0,2.0,Ciências Biológicas,1978.0,20.0,Química,2004.0,14.0,Engenharia Mecânica,2000.0,14
Química,1993.0,2.0,Medicina,1968.0,20.0,Educação,1998.0,14.0,Engenharia Elétrica,2002.0,14
Química,1994.0,2.0,Engenharia Civil,1981.0,20.0,Engenharia Elétrica,2000.0,14.0,Educação,2001.0,14
Química,1995.0,2.0,Medicina,1967.0,20.0,Engenharia Mecânica,1995.0,14.0,Engenharia Mecânica,1990.0,13
Química,1996.0,2.0,Medicina,1995.0,20.0,Educação,1989.0,14.0,Engenharia Elétrica,1996.0,13
 Mecânico,1978.0,1.0,Ciências Biológicas,1977.0,20.0,Química,1988.0,13.0,Engenharia Elétrica,1997.0,13
 Mecânico,1984.0,1.0,Medicina,1975.0,20.0,Química,1985.0,13.0,Física,1978.0,13
 Metalurgia,1983.0,1.0,Agronomia,1980.0,20.0,Química,2006.0,13.0,História Social,1994.0,13
 Mineração,1984.0,1.0,Física,1995.0,20.0,Engenharia Elétrica,2001.0,13.0,Matemática,2007.0,13
 Normal,1956.0,1.0,Engenharia Elétrica,1983.0,20.0,Educação,1999.0,13.0,Engenharia De Produção,1996.0,12
 Nutrição,1976.0,1.0,Física,1986.0,20.0,Física,1980.0,13.0,Engenharia Elétrica,2000.0,12
 Patologia Clínica,1996.0,1.0,Física,1978.0,19.0,Física,1978.0,13.0,Educação,2002.0,12
 Pesquisa Em Biologia Parasitária,1981.0,1.0,Agronomia,1995.0,19.0,Física,2010.0,13.0,Educação,1995.0,12
 Profissionalizante Em Preparação De Atores,2012.0,1.0,Engenharia Civil,1980.0,19.0,Engenharia Elétrica,2003.0,13.0,Engenharia Química,1996.0,12
 Quimica,1986.0,1.0,Agronomia,1992.0,19.0,Engenharia Elétrica,1995.0,13.0,Matemática,2010.0,12
 Química,1975.0,1.0,Agronomia,1993.0,19.0,Engenharia Elétrica,1986.0,13.0,Engenharia De Produção,2000.0,12
 Química,1990.0,1.0,Engenharia Civil,1983.0,19.0,Engenharia Elétrica,1991.0,12.0,Engenharia Elétrica,2008.0,12
 Química,1995.0,1.0,Agronomia,1991.0,19.0,Engenharia Elétrica,2007.0,12.0,Engenharia Elétrica,2007.0,12
 Química Industrial,1971.0,1.0,Medicina Veterinária,1982.0,19.0,Química,2009.0,12.0,Química,2006.0,12
 Química Industrial,1986.0,1.0,Agronomia,1999.0,19.0,Engenharia Elétrica,1987.0,12.0,Engenharia Química,2002.0,12
 Químico,1989.0,1.0,História,1984.0,19.0,Administração,2002.0,12.0,Psicologia,2001.0,12
 Secundário,1964.0,1.0,Física,1972.0,19.0,Química,2000.0,12.0,Física,2012.0,12
2o Grau Profissionalizante Em Análises Químicas,1982.0,1.0,Física,1994.0,19.0,Química,1976.0,12.0,Zootecnia,2005.0,12
Administração,1986.0,1.0,Física,1973.0,18.0,Engenharia Mecânica,1987.0,12.0,Química,2008.0,12
Administração De Empresas,1993.0,1.0,Física,1990.0,18.0,Engenharia Mecânica,1992.0,12.0,Farmacologia,1997.0,12
Administração De Empresas,1999.0,1.0,Ciências Biológicas,1975.0,18.0,Engenharia Elétrica,1996.0,12.0,Química,1991.0,12
Advanced Topics In Seed Physiology,1998.0,1.0,Química,1998.0,18.0,Zootecnia,1997.0,11.0,Matemática,2005.0,11
Agricultura,1966.0,1.0,Química,1999.0,18.0,Engenharia Elétrica,1983.0,11.0,Química,2009.0,11
Agrimensura,1989.0,1.0,Engenharia Civil,1997.0,18.0,Engenharia Civil,1988.0,11.0,Ciências Biológicas (zoologia),1996.0,11
Agrimensura,2017.0,1.0,Farmácia,2000.0,18.0,Física,2008.0,11.0,Engenharia Civil,1992.0,11
Agroindustria,1998.0,1.0,Ciências Biológicas,1976.0,18.0,Matemática,1996.0,11.0,Engenharia Elétrica,1990.0,11
Agroindústria,1996.0,1.0,Física,1974.0,18.0,História,1995.0,11.0,Matemática,2011.0,11
Agroindústria,1998.0,1.0,Química,1994.0,18.0,Matemática,2003.0,11.0,Engenharia Mecânica,1992.0,11
Agropecuaria,1988.0,1.0,História,1983.0,18.0,História,1990.0,11.0,Filosofia,1993.0,11
Agropecuária,1975.0,1.0,Engenharia Química,1993.0,18.0,Química,2007.0,11.0,Matemática,2009.0,11
Agropecuária,1981.0,1.0,Química,1995.0,17.0,Química,1987.0,11.0,Engenharia Química,1998.0,11
Agropecuária,1983.0,1.0,Medicina,1992.0,17.0,Educação,1990.0,11.0,Engenharia Mecânica,1993.0,11
Agropecuária,1990.0,1.0,Engenharia Civil,1994.0,17.0,Engenharia Química,1991.0,11.0,Engenharia De Produção,1999.0,11
Agropecuária,1991.0,1.0,Odontologia,1992.0,17.0,Engenharia Elétrica,1998.0,11.0,Engenharia Elétrica,1993.0,11
Agropecuária,1993.0,1.0,Medicina Veterinária,1992.0,17.0,Engenharia Química,1996.0,11.0,Filosofia,1999.0,10
Agropecuária,1996.0,1.0,Física,1996.0,17.0,Engenharia Mecânica,1998.0,11.0,Engenharia Mecânica,1999.0,10
Agropecuária,2005.0,1.0,Odontologia,1995.0,17.0,História,1994.0,10.0,Farmacologia,2002.0,10
Agropecuária Regime Especial,2000.0,1.0,Engenharia Civil,1992.0,17.0,Matemática,2007.0,10.0,Psicologia,2004.0,10
Agropecuário,1988.0,1.0,Engenharia Elétrica,1978.0,17.0,Zootecnia,2005.0,10.0,Matemática,2012.0,10
Alimentos,1989.0,1.0,Física,1977.0,17.0,História,1992.0,10.0,Zootecnia,2002.0,10
Alimentos,1993.0,1.0,Psicologia,1987.0,17.0,Engenharia Civil,2000.0,10.0,Psicologia,2000.0,10
Alimentos,1994.0,1.0,História,1985.0,16.0,Ciências Da Computação,1999.0,10.0,Engenharia Química,1988.0,10
Animal Care Program,2000.0,1.0,Medicina,1990.0,16.0,Engenharia Elétrica,1989.0,10.0,Engenharia Mecânica,2007.0,10
