CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Contabilidade,1994.0,2.0,Agronomia,1994.0,22.0,Engenharia Elétrica,1999.0,15.0,Física,1997.0,16
Processamento De Dados,1991.0,2.0,Física,1991.0,22.0,História,1994.0,15.0,Engenharia Elétrica,2000.0,16
Contabilidade,1995.0,2.0,Agronomia,1988.0,22.0,Engenharia Elétrica,1994.0,15.0,Matemática,2011.0,16
Processamento De Dados,1994.0,2.0,Física,1986.0,22.0,Química,1989.0,15.0,Zootecnia,2001.0,16
Contabilidade,1997.0,2.0,Agronomia,1991.0,22.0,Física,1983.0,15.0,Química,1994.0,15
Eletrônica,1986.0,2.0,Engenharia Civil,1985.0,21.0,Química,2002.0,15.0,Educação,1999.0,15
Processamento De Dados,1998.0,2.0,Física,1973.0,21.0,Química,2004.0,14.0,Matemática,2015.0,15
Processamento De Dados,1999.0,2.0,Química,1997.0,21.0,História,1995.0,14.0,Engenharia De Produção,2002.0,15
Quimica,1992.0,2.0,Física,2000.0,21.0,Filosofia,1996.0,14.0,Engenharia Elétrica,2009.0,15
Quimica,2001.0,2.0,Agronomia,1992.0,21.0,Engenharia Elétrica,1989.0,14.0,Educação,2004.0,14
Química,1981.0,2.0,Farmácia,2003.0,20.0,Engenharia Elétrica,1992.0,14.0,Matemática,2014.0,14
Química,1982.0,2.0,Medicina,1978.0,20.0,Física,1992.0,14.0,Engenharia Elétrica,1997.0,14
Eletrônica E Telecomunicações,2000.0,2.0,Agronomia,2002.0,20.0,Química,2003.0,14.0,Química,2013.0,14
Processamento De Dados,1996.0,2.0,Ciências Sociais,1996.0,20.0,Química,2007.0,14.0,Química,1993.0,14
Química,1986.0,2.0,Medicina,1972.0,20.0,Educação,1993.0,14.0,Filosofia,1996.0,14
Química,1987.0,2.0,Química,1995.0,20.0,Engenharia Mecânica,1997.0,13.0,Educação,2002.0,14
Química,1990.0,2.0,Física,1984.0,20.0,Física,1982.0,13.0,Engenharia Mecânica,2001.0,14
Contabilidade,1985.0,2.0,Química,1998.0,20.0,Física,1981.0,13.0,Engenharia Elétrica,1998.0,14
Magistério,1986.0,2.0,Medicina,1996.0,20.0,Física,1977.0,13.0,Química,2011.0,14
Eletrônica,1991.0,2.0,Odontologia,1995.0,19.0,Engenharia Elétrica,1997.0,13.0,Física,1988.0,13
Eletrônica,1992.0,2.0,Física,1995.0,19.0,Engenharia Elétrica,2005.0,13.0,Física,1989.0,13
Edificações,1984.0,2.0,Ciências Biológicas,2007.0,19.0,Filosofia,1994.0,13.0,Engenharia De Produção,2003.0,13
Telecomunicações,1992.0,2.0,Ciências Biológicas,1976.0,19.0,Engenharia Elétrica,1990.0,13.0,Matemática,2012.0,13
 Mecânico,1986.0,1.0,Medicina,1974.0,18.0,Engenharia Mecânica,1989.0,13.0,Engenharia Elétrica,1996.0,12
 Metalurgia,1985.0,1.0,História,1985.0,18.0,Educação,1992.0,13.0,Administração,2009.0,12
 Mineração,1987.0,1.0,Medicina Veterinária,1999.0,18.0,Matemática,2008.0,13.0,Ciências,2011.0,12
 Normal,1958.0,1.0,Engenharia Química,1983.0,18.0,Matemática,2007.0,13.0,Física,1980.0,12
 Nutrição,1979.0,1.0,Química,1992.0,18.0,Engenharia Elétrica,2003.0,13.0,Educação,1997.0,12
 Patologia Clínica,1999.0,1.0,Física,1977.0,18.0,Química,2006.0,13.0,Química,1996.0,12
 Pesquisa Em Biologia Parasitária,1981.0,1.0,Medicina Veterinária,2001.0,18.0,Educação,1999.0,13.0,Psicologia,2004.0,12
 Profissionalizante Em Preparação De Atores,2016.0,1.0,Medicina Veterinária,1992.0,18.0,Química,1990.0,13.0,Engenharia Química,2006.0,12
 Quimica,1988.0,1.0,Física,1982.0,18.0,Engenharia Mecânica,2000.0,12.0,Matemática,2004.0,12
 Química,1977.0,1.0,Engenharia Civil,1984.0,18.0,Zootecnia,2003.0,12.0,Engenharia Química,2000.0,12
 Química,1994.0,1.0,Medicina,2000.0,18.0,Física,2012.0,12.0,Engenharia Elétrica,2002.0,12
 Química,1997.0,1.0,Medicina,1998.0,18.0,Engenharia Mecânica,1992.0,12.0,Física,1986.0,12
 Química Industrial,1974.0,1.0,Agronomia,1998.0,18.0,Zootecnia,1998.0,12.0,Zootecnia,2005.0,12
 Química Industrial,1989.0,1.0,Física,1975.0,18.0,Engenharia Civil,1990.0,12.0,Engenharia Mecânica,1996.0,12
 Químico,1991.0,1.0,Agronomia,1985.0,18.0,Engenharia Química,1996.0,12.0,Educação,1996.0,11
 Secundário,1969.0,1.0,Agronomia,1996.0,18.0,Física,1980.0,12.0,Engenharia Mecânica,1993.0,11
2o Grau Profissionalizante Em Análises Químicas,1984.0,1.0,Agronomia,1997.0,18.0,Engenharia Química,1995.0,12.0,História,2007.0,11
Administração,1988.0,1.0,Medicina,1975.0,18.0,Matemática,2005.0,12.0,Ciências Biológicas (bioquímica),2000.0,11
Administração De Empresas,1995.0,1.0,Medicina,1999.0,17.0,Química,2008.0,12.0,Física,2016.0,11
Administração De Empresas,2000.0,1.0,Agronomia,2001.0,17.0,Educação,2001.0,12.0,Engenharia Mecânica,2005.0,11
Advanced Topics In Seed Physiology,1998.0,1.0,Medicina,1980.0,17.0,Engenharia Elétrica,2000.0,12.0,Engenharia Química,2001.0,11
Agricultura,1968.0,1.0,Física,1998.0,17.0,Engenharia Elétrica,2002.0,12.0,Engenharia Mecânica,1997.0,11
Agrimensura,1991.0,1.0,Química,2003.0,17.0,Física,2010.0,12.0,Engenharia Mecânica,2003.0,11
Agrimensura,2018.0,1.0,Medicina,1994.0,17.0,Engenharia Elétrica,1988.0,12.0,Lingüística,1995.0,11
Agroindustria,2000.0,1.0,Psicologia,1988.0,17.0,Engenharia De Produção,2002.0,12.0,História,2000.0,11
Agroindústria,1998.0,1.0,Engenharia Civil,2001.0,17.0,Engenharia Química,2002.0,11.0,Ciências Biológicas (bioquímica),2005.0,11
Agroindústria,2000.0,1.0,Química,1990.0,17.0,Farmacologia,1997.0,11.0,Engenharia Elétrica,2007.0,11
Agropecuaria,1990.0,1.0,Física,1993.0,17.0,Engenharia Química,1992.0,11.0,Engenharia Elétrica,2004.0,11
Agropecuária,1977.0,1.0,Química,1999.0,17.0,Matemática,1998.0,11.0,Engenharia Química,2003.0,11
Agropecuária,1983.0,1.0,Física,2007.0,17.0,Química,1987.0,11.0,Física,2015.0,11
Agropecuária,1984.0,1.0,História,1988.0,17.0,Engenharia Mecânica,1998.0,11.0,Engenharia Elétrica,2001.0,11
Agropecuária,1985.0,1.0,Medicina,1971.0,16.0,Filosofia,1992.0,11.0,Engenharia Civil,1995.0,11
Agropecuária,1993.0,1.0,História,1986.0,16.0,Zootecnia,1999.0,11.0,Engenharia Elétrica,1994.0,11
Agropecuária,1995.0,1.0,Física,1988.0,16.0,História,1997.0,11.0,Zootecnia,2008.0,11
Agropecuária,1998.0,1.0,Ciência Da Computação,2003.0,16.0,História,1996.0,11.0,Matemática,2010.0,11
Agropecuária,2007.0,1.0,Odontologia,2003.0,16.0,Engenharia De Produção,2006.0,11.0,Física,1985.0,11
Agropecuária Regime Especial,2002.0,1.0,Física,1979.0,16.0,Ecologia,1994.0,11.0,Engenharia De Produção,2009.0,10
Agropecuário,1990.0,1.0,Física,2002.0,16.0,Engenharia Química,1985.0,11.0,Sociologia,1994.0,10
Alimentos,1990.0,1.0,Agronomia,1999.0,16.0,Química,2011.0,11.0,Sociologia,2003.0,10
Alimentos,1996.0,1.0,Física,1990.0,16.0,Engenharia Civil,2002.0,10.0,Educação,1998.0,10
Alimentos,1997.0,1.0,Agronomia,1984.0,16.0,Farmacologia,2000.0,10.0,Zootecnia,2003.0,10
Animal Care Program,2001.0,1.0,Engenharia Civil,2000.0,16.0,Engenharia Civil,1992.0,10.0,Engenharia Química,1996.0,10
Análise Real,1982.0,1.0,Engenharia Civil,1998.0,16.0,Matemática,1988.0,10.0,Engenharia Elétrica,2011.0,10
Análises Clínicas,1995.0,1.0,Física,1981.0,16.0,Engenharia Química,2003.0,10.0,Matemática,2008.0,10
Armas E Munições,1988.0,1.0,Agronomia,1989.0,16.0,Ciências Biológicas (biologia Molecular),1989.0,10.0,Engenharia De Produção,2000.0,10
Atualização Em Engenharia Biomédica,1977.0,1.0,Medicina,1973.0,16.0,Engenharia Civil,1991.0,10.0,Economia,2004.0,10
Automatic Control,1990.0,1.0,Ciências Biológicas,1980.0,16.0,Zootecnia,2005.0,10.0,Engenharia Civil,1997.0,10
Automação Industrial,2007.0,1.0,Ciências Biológicas,1982.0,16.0,História,1992.0,10.0,Educação,2006.0,10
Automação Industrial,2022.0,1.0,Medicina,1995.0,16.0,Matemática,2012.0,10.0,Educação,2007.0,10
Auxilar Em Processamento De Dados,1995.0,1.0,Agronomia,1986.0,15.0,Psicologia,1997.0,10.0,Enfermagem,2000.0,10
Auxiliar Agrimensura,1985.0,1.0,Engenharia Civil,1987.0,15.0,Engenharia Mecânica,1994.0,10.0,Educação,2011.0,10
Auxiliar De Atividades Escolares,1995.0,1.0,Engenharia Civil,1986.0,15.0,Psicologia,2003.0,10.0,História Social,1997.0,10
Auxiliar De Contabilidade,1993.0,1.0,Medicina Veterinária,1986.0,15.0,Sociologia,1989.0,10.0,Psicologia,2005.0,10
Auxiliar De Enfermagem,1999.0,1.0,Medicina Veterinária,1985.0,15.0,Educação,1988.0,10.0,Química,1991.0,10
Auxiliar De Laboratório De Análises Clínicas,1983.0,1.0,Agronomia,2007.0,15.0,Matemática,2010.0,10.0,Engenharia Mecânica,1994.0,10
Auxiliar Eletrônica E Telecomunicações,2001.0,1.0,Ciências Biológicas,1978.0,15.0,Administração,2004.0,9.0,Filosofia,2002.0,10
Auxiliar Em Processamento De Dados,1991.0,1.0,Química,2002.0,15.0,Física,1976.0,9.0,Filosofia,1999.0,10
Auxiliar Museu,1982.0,1.0,Medicina Veterinária,1996.0,15.0,Engenharia Química,2008.0,9.0,Farmacologia,2005.0,10
Bacteriologia,1978.0,1.0,Medicina Veterinária,1995.0,15.0,Ecologia,1992.0,9.0,Filosofia,2000.0,10
Bioquímica,1991.0,1.0,Agronomia,2000.0,15.0,Engenharia Química,1999.0,9.0,Engenharia Química,1995.0,9
Bioquímica,1995.0,1.0,História,1989.0,15.0,Engenharia Química,1988.0,9.0,Engenharia Elétrica,1993.0,9
Biotecnologia,1998.0,1.0,História,1987.0,15.0,Psicologia,2000.0,9.0,Ciências Biológicas (bioquímica),2003.0,9
Biotecnologia,2001.0,1.0,Medicina,1993.0,15.0,Engenharia Química,1993.0,9.0,Ciências Sociais,2004.0,9
Cafeicultura,2023.0,1.0,Engenharia Química,1985.0,15.0,Física,1985.0,9.0,Física,1984.0,9
Capacitação Técnica Nível 3,2000.0,1.0,Engenharia Mecânica,1987.0,15.0,Matemática,2011.0,9.0,Engenharia Elétrica,2012.0,9
Consultor Meio Ambiente,1995.0,1.0,Ciências Biológicas,1979.0,15.0,Sociologia,1992.0,9.0,Engenharia Civil,2001.0,9
Contabilidade,1979.0,1.0,Engenharia Elétrica,2001.0,15.0,Sociologia,1995.0,9.0,Filosofia,2004.0,9
Contabilidade,1988.0,1.0,Engenharia Química,1988.0,15.0,Engenharia Mecânica,2003.0,9.0,História,1999.0,9
Contabilidade,1999.0,1.0,Engenharia Química,1993.0,15.0,Psicologia,2010.0,9.0,Engenharia De Produção,2001.0,9
Controle De Qualidade De Alimentos,1998.0,1.0,Ciências Sociais,1994.0,15.0,Engenharia Mecânica,2005.0,9.0,Engenharia Mecânica,1992.0,9
Curto Agropecuaria,1972.0,1.0,Agronomia,1983.0,15.0,Sociologia,1996.0,9.0,História,2005.0,9
