CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Eletrônica,1997.0,1.0,Ciências Biológicas,1994.0,5.0,Zootecnia,2000.0,4.0,Física,1997.0,4
Eletrônica,1999.0,1.0,Engenharia Agronômica,1995.0,5.0,Zootecnia,2003.0,4.0,Física,1988.0,4
Iniciação Científica Em Aracnologia,1989.0,1.0,Ciência Da Computação,2002.0,5.0,Engenharia Civil,2000.0,4.0,Física,2006.0,4
Irrigação E Drenagem,1988.0,1.0,Engenharia Química,1996.0,5.0,Química,1989.0,4.0,Geociências,1994.0,4
Leite E Derivados,1999.0,1.0,Química,1986.0,5.0,Zootecnia,2009.0,4.0,Genética E Melhoramento De Plantas,1998.0,4
Materiais,2001.0,1.0,Engenharia Elétrica,1997.0,5.0,Zootecnia,1999.0,3.0,História,1995.0,4
Mecânica,1987.0,1.0,Agronomia,1983.0,5.0,Química,1984.0,3.0,Zootecnia,2004.0,4
Mecânica Geral,1999.0,1.0,Agronomia,1986.0,5.0,Geologia,1988.0,3.0,Zootecnia,2006.0,3
Habilitação Profissional De Informática,2000.0,1.0,Ciências Econômicas,1997.0,5.0,Engenharia Civil,1981.0,3.0,Zootecnia,2005.0,3
Informática Industrial Col.  Uninversitário,1994.0,1.0,Engenharia Agronômica,2000.0,5.0,Engenharia Civil,1982.0,3.0,Administração,2008.0,3
Meteorologia,1978.0,1.0,Zootecnia,1990.0,4.0,Engenharia Civil,1993.0,3.0,Administração,2007.0,3
Metalurgia,1983.0,1.0,Engenharia Química,1986.0,4.0,Engenharia Civil,1990.0,3.0,Zootecnia,1997.0,3
Música - Instrumento Piano,1982.0,1.0,Zootecnia,1994.0,4.0,Educação,1999.0,3.0,Zootecnia,2000.0,3
Nutrição E Dietética,1993.0,1.0,Engenharia Agrícola,1984.0,4.0,Engenharia Civil,1975.0,3.0,Ciência E Engenharia Dos Materiais,1998.0,3
Processamento De Dados,1992.0,1.0,Agronomia,1978.0,4.0,Engenharia Civil,1980.0,3.0,Genética E Biologia Molecular,1995.0,3
